,Unnamed: 0,address,category,city,hours,latitude,longitude,name,phone,state,zip
39,39,2800 Stanford Avenue,Food Pantry,Los Angeles,,34.0186835,-118.2606782,St. Philip's Episcopal Church,323-291-8917,CA,90011
40,40,510 N. Vineland Avenue,Food Pantry,La Puente,,34.051539,-117.986823,San Gabriel Valley Y.W.C.A.,626-333-0294,CA,91746
41,41,10641 San Fernando Road,Food Pantry,Pacoima,,34.2630434,-118.4195782,Meet Each Need with Dignity,818.686.7334,CA,91331
42,42,445  Towne Avenue,Food Pantry,Los Angeles,,34.0433355,-118.2419919,Fred Jordan Mission,213-489-7763,CA,90013
43,43,2210 Sichel Street,Food Pantry,Los Angeles,,34.0703284,-118.2126261,Sacred Heart Church,323.221.3179,CA,90031
44,44,7926 Pickering Avenue,Food Pantry,Whittier,,33.9691227,-118.0417514,Salvation Army- Whittier Corp.,562-698-8348,CA,90602
45,45,10825 Moorpark Street,Food Pantry,North Hollywood,,34.1503878,-118.3663839,St. Charles Service Center,818.985.7365,CA,91602
46,46,490 E. La Verne Anenue,Food Pantry,Pomona,,34.0806833,-117.7434276,Salvation Army-Pomona,909.623.1579,CA,91767-2800
47,47,2703 Walnut Grove Avenue,Food Pantry,Rosemead,,34.0610322,-118.0823275,Church of the Nazarene-Rosemead,562-695-0019,CA,91770
48,48,11929 Alondra Boulevard,Food Pantry,Norwalk,,33.8879224,-118.0789232,City of Norwark/Department of Social Services,562-929-5544,CA,90650
49,49,2270 S. Harvard Boulevard,Food Pantry,Los Angeles,,34.0344082,-118.3061942,First African Methodist Episcopal Church,323 735-1251,CA,90018
50,50,3700 E. Sierra Madre Boulevard,Food Pantry,Pasadena,,34.1609763,-118.0739988,First Church of the Nazarene-Pasadena,626-351-9631,CA,91107
51,51,10217 Inglewood Avenue,Food Pantry,Lennox,,33.9429599,-118.3618262,St. Margaret's Center,310.672.2208,CA,90304
52,52,7600 S. Avalon Boulevard,Food Pantry,Los Angeles,,33.9709509,-118.2648597,Estelle Van Meter Multipurpose,323.753.3881,CA,90003
53,53,9901 Tujunga Canyon Boulevard,Food Pantry,Tujunga,,34.2480625,-118.2772395,Tujunga United Methodist Church,818-352-1481,CA,91042
54,54,8107 Loyola Boulevard,Food Pantry,Los Angeles,,33.9643479,-118.416965,Hurting & Hungry,213.268.4820,CA,90045
55,55,4230 S. Normandie Avenue,Food Pantry,Los Angeles,,34.0059447,-118.2998211,St. Cecilia Catholic Church,(323) 294-6628,CA,90037
56,56,4915 Crenshaw Boulevard,Food Pantry,Los Angeles,,33.9979589,-118.3308714,Bethesda Temple Church,323.299.2591,CA,90043
57,57,2040 W. Jefferson Boulevard,Food Pantry,Los Angeles,,34.0251148,-118.3161,Trinity Baptist Church L.A.,323-735-0044,CA,90018
58,58,5017 E. Olympic Boulevard,Food Pantry,Los Angeles,,34.0173349,-118.1621792,Iglesia la Puerta Abierta,323.261.8397,CA,90022
59,59,1345 Turnbull Canyon Road,Food Pantry,Hacienda Heights,,34.0112629,-117.980451,St. John Vianney Church,626-330-2269,CA,91745
60,60,1076 N. El Centro Avenue,Food Pantry,Hollywood,,34.0905485,-118.3243668,Children of the Shepherd,323-953-4000,CA,90038
61,61,45134 N. Sierra Hwy.,Food Pantry,Lancaster,,34.7030069,-118.137309,"Grace Resource Center, Inc.",661.940.5272,CA,93534
62,62,5721 S. Western Avenue,Food Pantry,Los Angeles,,33.9902077,-118.3094489,Testimonial Community Love Ctr,323-291-6753,CA,90062
63,63,11449 Sproule Avenue,Food Pantry,Pacoima,,34.2782812,-118.4067452,Cornerstone Christian Ministry,818.993.2988,CA,91331
64,64,650 W. 21st Street,Food Pantry,Los Angeles,,34.0327067,-118.2752257,Los Angeles Central City S.D.A. Church,(213) 749-9646,CA,90007
65,65,3303 W. Vernon Avenue,Food Pantry,Los Angeles,,34.0040273,-118.3297116,Christ the Good Shepherd Episcopal,323-295-4139,CA,90008
66,66,621 W. Adams Boulevard,Food Pantry,Los Angeles,,34.0288543,-118.2769163,St. Vincent de Paul Church,213-749-8950,CA,90007
67,67,4509 Mercury Avenue,Food Pantry,Los Angeles,,34.0861589,-118.1901472,Our Lady of Guadalupe Church,323.225.4201,CA,90032
68,68,1524 Fremont Avenue,Food Pantry,South Pasadena,,34.1080192,-118.1527363,Holy Family Giving Bank,626.403.6140,CA,91030
69,69,20025 Chase Street,Food Pantry,Winnetka,,34.2248564,-118.5698672,Redeemer Lutheran Outreach,818-341-1629,CA,91306
70,70,777 Colorado Boulevard,Food Pantry,Los Angeles,,34.1410086,-118.182682,Central Filipino S.D.A. Church,323-255-7718,CA,90041
71,71,3846 Redondo Beach Boulevard,Food Pantry,Torrance,,33.8781235,-118.3402114,St. Catherine Laboure Catholic,310-329-0993,CA,90504
72,72,4018 East Hammel Street,Food Pantry,Los Angeles,,34.0421266,-118.1794177,Guadalupe Food Program,323.261.8051,CA,90063
73,73,2936 W. 8th Street,Food Pantry,Los Angeles,,34.0574918,-118.2904201,First Unitarian Church-Hope Net,213-389-1356,CA,90005
74,74,2555 Commerce Way,Food Pantry,Commerce,,34.0002991,-118.1559376,City of Commerce Community Center,323 887-4460,CA,90040
75,75,1722 East Firestone Boulevard,Food Pantry,Los Angeles,,33.9599573,-118.2423524,Good News Prayer Center,323.753.0117,CA,90001
76,76,675 E. 118th Street,Food Pantry,Los Angeles,,33.9267262,-118.2624581,Belvue Presbyterian Church,323-757-9188,CA,90059
77,77,9133 Mines Avenue,Food Pantry,Pico Rivera,,33.9907778,-118.0869102,First Bilingual Baptist Church,562-658-5907,CA,90660
78,78,5214 S. Western Avenue,Food Pantry,Los Angeles,,33.9945347,-118.3086059,St. Brigid Catholic Church,323-292-0781,CA,90062
79,79,310 E. Chestnut Street,Food Pantry,Glendale,,34.1395829,-118.2520609,Glendale Filipino S.D.A. Church,818.543.0110,CA,91205
80,80,2420 Pacific Coast Highway,Food Pantry,Hermosa Beach,,33.8715292,-118.3942418,Hope Chapel Foursquare Church,310.374.4673,CA,90254
81,81,997 E. Walnut,Food Pantry,Pasadena,,34.1500129,-118.1297586,Trinity Evangelical Lutheran Church,626.792.1212,CA,91106
82,82,6406 Parmelee Avenue,Food Pantry,Los Angeles,,33.9813266,-118.249548,Presentation of Mary Catholic,323.585.0570,CA,90001
83,83,1713 W. 108th Street,Food Pantry,Los Angeles,,33.9385863,-118.3074812,Imani Unidos A.I.D.S. Project,323.754.8453,CA,90047
84,84,21329 E. Cienega Avenue,Food Pantry,Covina,,34.103353,-117.838035,St. John Coptic Orthodox,562 691-0299,CA,91724
85,85,16439 Vanowen Street,Food Pantry,Van Nuys,,34.1942489,-118.491725,JFS/SOVA Community Food & Resource Program,818.988.7682,CA,91406
86,86,401 N. State Street,Food Pantry,Los Angeles,,34.0492972,-118.2157793,White Memorial S.D.A. Church,323 264-2170,CA,90033
87,87,17431 Roscoe Blvd.,Food Pantry,Northridge,,34.2216778,-118.513091,St. Mary & St. Athanasius Coptic Church,818-342-4414,CA,91325
88,88,7016 S. Compton Avenue,Food Pantry,Los Angeles,,33.9759009,-118.2473905,Pilgrim's Hope Baptist Church,323.581.7672,CA,90001
89,89,1180 North Lincoln Avenue,Food Pantry,Pasadena,,34.1664331,-118.1592865,Lincoln Avenue Baptist Church,626.798.9163,CA,91103
90,90,455 W. 57th Street,Food Pantry,Los Angeles,,33.9908748,-118.2822084,Figueroa Church of Christ,323-753-2536,CA,90037
91,91,3232 Hunter Street,Food Pantry,Los Angeles,,34.0211079,-118.2082908,Estrada Courts Community Center,323.641.8943,CA,90023
92,92,5814 Venice Blvd.,Food Pantry,Los Angeles,,34.0414693,-118.3661612,Christian Association for Social Services,323-936-9481,CA,90019
93,93,6657 Sunset Blvd.,Food Pantry,Hollywood,,34.0985135,-118.3351039,Blessed Sacrament Food Pantry-Hope Net,323.874.5577,CA,90028
94,94,1414 South Atlantic Blvd.,Food Pantry,Los Angeles,,34.012313,-118.1590196,Door of Hope Community Center,323.262.2777,CA,90022
95,95,16113 S. Denker Avenue,Food Pantry,Gardena,,33.8844546,-118.3048366,Gardena S.D.A. Church,310.324.3992,CA,90247
96,96,5000 Sunset Blvd. 7th Floor,Food Pantry,Los Angeles,,34.0977874,-118.2986107,Childrens Hospital Los Angeles,323-361-5981,CA,90027
97,97,21411 Norwalk Blvd.,Food Pantry,Hawaiian Gardens,,33.8348574,-118.0723646,Hawaiian Gardens Food Bank,562.860.9097,CA,90716
98,98,42640 10th Street West,Food Pantry,Lancaster,,34.6579322,-118.1471819,Shekinah Worship Center,661.400.2570,CA,93534
99,99,2965 E. Gage Avenue,Food Pantry,Huntington Park,,33.9814284,-118.2165004,Salvation Army Southeast Comm. Corp,323-587-4221,CA,90255
100,100,13055 Weidner Street,Food Pantry,Pacoima,,34.2772191,-118.4173919,"Eliza Shanks Homes, Inc.",818-896-9304,CA,91331
101,101,112 West 52nd Street,Food Pantry,Los Angeles,,33.9953651,-118.2743249,Wesley United Methodist Church,323.298.0727,CA,90037
102,102,700 Hoefner Avenue,Food Pantry,Los Angeles,,34.0209372,-118.1493743,East L.A. Bilingual S.D.A. Church,323.633.4734,CA,90022
103,103,2614 W. 7th Street,Food Pantry,Los Angeles,,34.0586006,-118.2826812,Los Angeles Housing Partnership,213.629.9172,CA,90057
104,104,427 S. Evergreen Ave.,Food Pantry,Los Angeles,,34.036566,-118.205021,Our Lady of Talpa Church,323.268.7731,CA,90033
105,105,3401 W. 3rd Street,Food Pantry,Los Angeles,,34.0693363,-118.2898538,Los Angeles First Church of the Nazarene-Hope Net,213.385.6345,CA,90020
106,106,1304 W. Burbank Blvd.,Food Pantry,Burbank,,34.1825214,-118.3260622,Burbank Temporary Aid Center,818-848-2822,CA,91506
107,107,3431 Portola Avenue,Food Pantry,Los Angeles,,34.0856924,-118.1729264,All Saints Conference,323.675.4873,CA,90032
108,108,836 E. Avenue I,Food Pantry,Lancaster,,34.7039815,-118.1135045,Loveship Community Outreach,661.729.4106,CA,93535
109,109,401 N. Garfield Ave,Food Pantry,Montebello,,34.0192364,-118.1337064,Mexican-American Opportunity Foundation,323.890.9600,CA,90640
110,110,2120 Estrella Avenue,Food Pantry,Los Angeles,,34.0324876,-118.2759117,Star Christian School,213-746-6900,CA,90007
111,111,3740 Don Felipe Drive,Food Pantry,Los Angeles,,34.0068523,-118.3408663,Crenshaw United Methodist Church,323.292.0141,CA,90008
112,112,11705 Deputy Yamamoto Place,Food Pantry,Lynwood,,33.9268095,-118.229051,Shields for Families,323-242-5000,CA,90262
113,113,3300 Wilshire Blvd,Food Pantry,Los Angeles,,34.0614542,-118.294485,Immanuel Presbyterian Church-Hope Net,213.389.3191,CA,90010
114,114,25501 Oak Street,Food Pantry,Lomita,,33.7919156,-118.3176793,His Helping Hands,310.326.2757,CA,90717
115,115,1758 East Avenue R,Food Pantry,Palmdale,,34.5722471,-118.0963705,Palmdale S.D.A. Church,661.947.8496,CA,93550
116,116,1307 Warren Street,Food Pantry,Los Angeles,,34.0521281,-118.2201373,Catholic Charities- Brownson House,(213) 251-3514,CA,90033
117,117,2214 E. 108th Street,Food Pantry,Los Angeles,,33.9373243,-118.2324792,San Miguel Church,323-569-5951,CA,90059
118,118,4903 Fountain Avenue,Food Pantry,Los Angeles,,34.0955984,-118.296546,Hope International Bible Fellowship,323.663.9394,CA,90029
119,119,5873 S. Normandie Avenue,Food Pantry,Los Angeles,,33.9877081,-118.3002282,Living Truth Christian Fellowship,323.290.3909,CA,90044
120,120,13965 East Ramona Parkway,Food Pantry,Baldwin Park,,34.085323,-117.969546,Baldwin Park Bilingual S.D.A.,626 338-4828,CA,91706
121,121,1555 W. 108th Street,Food Pantry,Los Angeles,,33.9384572,-118.3040285,First New Christian Fellowship,323.756.2541,CA,90047
122,122,138 S. Bandini Street,Food Pantry,San Pedro,,33.7426596,-118.2986098,San Pedro Temple Corps,310-832-7228,CA,90731
123,123,1245 S. Norton Avenue,Food Pantry,Los Angeles,,34.0483572,-118.3238487,"Ananda Marga of L.A., Inc.",818.414.7737,CA,90019
124,124,122 South Evergreen Avenue,Food Pantry,Los Angeles,,34.0396969,-118.202409,Iglesia Pentecostes Roca de Salvacion,323.832.5313,CA,90033
125,125,1150 W. Holt Avenue,Food Pantry,Pomona,,34.0613107,-117.7687845,St. Joseph Conference,909.469.9773,CA,91768
126,126,8724 S. Central Avenue,Food Pantry,Los Angeles,,33.9585498,-118.256075,Bethel Unspeakable Joy Christian Church,323 585-5939,CA,90002
127,127,309 S. Oxford Avenue,Food Pantry,Los Angeles,,34.0685889,-118.308458,Wilshire Presbyterian Church-Hope Net,213.387.5387,CA,90020
128,128,4959 W. Adams Boulevard,Food Pantry,Los Angeles,,34.032789,-118.348501,West Adams Church of Christ,323 731-6672,CA,90016
129,129,5020 W. Santa Monica Boulevard,Food Pantry,Hollywood,,34.0904073,-118.2988528,Hollywood Community Housing,323.469.0710,CA,90029
130,130,"1741 Gardena Avenue, Suite E",Food Pantry,Glendale,,34.1227497,-118.2575547,International Families Association,818.770.0779,CA,91204
131,131,4228 S. Vermont Avenue,Food Pantry,Los Angeles,,34.0065425,-118.2912726,Christ Gospel Prayer Center,323.732.1394,CA,90037
132,132,135 North Oakland Avenue,Food Pantry,Pasadena,,34.148218,-118.1404603,Fuller Theological Seminary,626.584.5433,CA,91101
133,133,4425 S. Central Avenue,Food Pantry,Los Angeles,,34.0031117,-118.2568599,Cover the Homeless Ministry,323.931.5468,CA,90011
134,134,14640 Keswick,Food Pantry,Van Nuys,,34.2100101,-118.4523896,Loaves & Fishes-Van Nuys,818-997-0943,CA,91405
135,135,4322 San Fernando Road,Food Pantry,Glendale,,34.1316156,-118.261043,Loaves & Fishes-Glendale,818.409.3080,CA,91204
136,136,760 S. Westmoreland Avenue,Food Pantry,Los Angeles,,34.0582323,-118.2886022,First Baptist Church-Hope Net,213.384.2151,CA,90005
137,137,8434 S. Greenleaf Avenue,Food Pantry,Whittier,,33.9627706,-118.0395279,Family Church Whittier,626-893-1236,CA,90602
138,138,140 Chestnut Street,Food Pantry,Pasadena,,34.1501638,-118.1474523,St. Andrew Catholic Church,626- 792-4183,CA,91103
139,139,755 E. 223rd Street,Food Pantry,Carson,,33.8244169,-118.2620021,Jesus Christ the Reedemer Center,424.264.9875,CA,90745
140,140,17134 E. Ave O,Food Pantry,Palmdale,,34.616048,-117.824428,Living Springs Foursquare Church,661.264.1717,CA,93591
141,141,3801 South Normandie Avenue,Food Pantry,Los Angeles,,34.0170589,-118.3003684,Normandie Community Development Food Pantry,323.731.7787,CA,90037
142,142,38325 10th Street East,Food Pantry,Palmdale,,34.5784049,-118.1120551,Palmdale Foursquare Church,661.947.2938,CA,93550
143,143,14725 Gramercy Place,Food Pantry,Gardena,,33.897334,-118.314122,Lady Bug Ministry,(323) 751-3748,CA,90247
144,144,841 W. 85th Street,Food Pantry,Los Angeles,,33.9614457,-118.288536,Heavenly Vision Church of God in Christ,323.245.2651,CA,90044
145,145,7651 South Central Avenue,Food Pantry,Los Angeles,,33.9698411,-118.2567313,Salvation Army- South L.A.,323.586.0759,CA,90001
146,146,18047 Valley Boulevard,Food Pantry,La Puente,,34.0065174,-117.9088863,La Puente Spanish S.D.A. Church,626.912.9408,CA,91744
147,147,4954 Santa Monica Boulevard,Food Pantry,Los Angeles,,34.0905787,-118.2976765,Immaculate Heart of Mary-Hope Net,323.660.0034,CA,90029
148,148,"1817 E. Avenue Q., A-6",Food Pantry,Palmdale,,34.5672827,-118.0960249,East Palmdale Foursquare,661.874.8788,CA,93550
149,149,434 S. Vermont Boulevard,Food Pantry,Los Angeles,,34.0664143,-118.291309,Islamic Center of Southern CA-Hope Net,213.382.9200,CA,90020
150,150,3947 W. 104th Street,Food Pantry,Inglewood,,33.9421196,-118.3433323,Inglewood Southside Christian Church,310.677.0446,CA,90303
151,151,8505 S. Western Avenue,Food Pantry,Los Angeles,,33.9606268,-118.3093646,Love & Faith Christian Center,323.753.8300,CA,90047
152,152,8803-8807 S. Broadway Street,Food Pantry,Los Angeles,,33.9571095,-118.2785568,CCC Ebenezery Parish,323.752.4400,CA,90003
153,153,301 N. Union Avenue,Food Pantry,Los Angeles,,34.0676498,-118.2644293,Filipino Christian Church,213.483.5821,CA,90026
154,154,3663 Wilshire Boulevard,Food Pantry,Los Angeles,,34.0621177,-118.3049672,Wilshire Boulevard Temple Hope-Net,213.388.2401,CA,90010
155,155,5017 Compton Avenue,Food Pantry,Los Angeles,,33.9970846,-118.2481042,St. Mark Missionary Baptist,323.231.1040,CA,90011
156,156,1473 W. 182nd Street,Food Pantry,Gardena,,33.8659794,-118.3018567,Gardena Valley Assembly of God,310.329.6933,CA,90248
157,157,15721 Cornuta Avenue,Food Pantry,Bellflower,,33.8906177,-118.1198573,St. George Church,562.862.0273,CA,90706
158,158,1418 Arrow Highway,Food Pantry,Irwindale,,34.1146127,-117.9746909,Cory's Kitchen,626.305.0392,CA,91706
159,159,15701 E. Hill Street,Food Pantry,La Puente,,34.0325929,-118.2662632,First United Methodist Church of La Puente,626.968.9394,CA,91744
160,160,1350 Arrow Hwy,Food Pantry,La Verne,,34.100366,-117.785848,Sowing Seeds for Life,909.392.5777,CA,91750
161,161,6520 S. Normandie Avenue,Food Pantry,Los Angeles,,33.9799881,-118.2999294,Family Mennonite Church,323.750.1744,CA,90044
162,162,936 W. Ninth Street,Food Pantry,Pomona,,34.0510185,-117.7596455,Mt. Sinai C.O.G.I.C.,909.868.0224,CA,91766
163,163,2155 Atlantic Avenue,Food Pantry,Long Beach,,33.7963363,-118.1853545,Filipino Baptist Fellowship of Long Beach,310.212.5175,CA,90806
164,164,1009 N. Market Street,Food Pantry,Inglewood,,33.9766895,-118.3568641,Chapel of Peace Lutheran Church,310.673.2584,CA,90302
165,165,"1139 E. Dominguez Street, Suite D",Food Pantry,Carson,,33.8419672,-118.253889,City of Truth Ministries,310.669.8300,CA,90746
166,166,"13030 Inglewood Avenue, Suite.104",Food Pantry,Hawthorne,,33.9137357,-118.3608819,Tongan Community Service Center,310.679.9099,CA,90249
167,167,9701 Flower Street,Food Pantry,Bellflower,,33.882343,-118.12727,The Lord's Church,562.866.8283,CA,90706
168,168,11690 Fenton Avenue,Food Pantry,Lake View Terrace,,34.2823569,-118.3916075,Peace Lutheran Church,818.899.3950,CA,91342
169,169,4232 West Ave. L,Food Pantry,Quartz Hill,,34.659707,-118.2068055,Ed & Frankie Benson Evangelistic Ministries,661.943.1148,CA,93536
170,170,510 W. Monterey Avenue,Food Pantry,Pomona,,34.0602663,-117.7569861,Imani Economic & Community Development Corporation,909.620.9161,CA,91768
171,171,210 W. Florence Avenue,Food Pantry,Los Angeles,,33.9745963,-118.2767182,Greater New Morning Star Baptist Church,323.529.4446,CA,90003
172,172,7860 10th Avenue,Food Pantry,Los Angeles,,33.9678904,-118.3280831,Zion Hill Baptist Church,323.753.4610,CA,90043
173,173,1033 South Maple Avenue,Food Pantry,Montebello,,33.9953919,-118.124677,Montebello Watch,626-810-5833,CA,90640
174,174,13560 Hawthorne Boulevard,Food Pantry,Hawthorne,,33.9088461,-118.3520296,Calvary Presbyterian Church,310.676.1144,CA,90250
175,175,6315 Eastern Avenue,Food Pantry,Bell Gardens,,33.9768389,-118.1637179,Mision Cristana Monte de Sion,562.544.4264,CA,90201
176,176,19359 Londelius Street,Food Pantry,Northridge,,34.2304245,-118.5557989,Houses of Light Church Corporation,818.998.2931,CA,91324
177,177,657 E. Arrow Highway,Food Pantry,Glendora,,34.1070477,-117.8509722,Shepherd's Pantry,626.852.7630,CA,91740
178,178,5607 N. Barranca Avenue,Food Pantry,Azusa,,34.11485,-117.8821589,Village Covenant,626-335-4013,CA,91702
179,179,5619 Monte Vista Street,Food Pantry,Los Angeles,,34.1117075,-118.1953492,All Saints Episcopal Church Highland Park,323.255.6806,CA,90042
180,180,2343 N. San Antonio Avenue,Food Pantry,Pomona,,34.0852934,-117.7371539,CUSH Foundation,909.621.5369,CA,91767
181,181,6015 W Avenue J8,Food Pantry,Quartz Hill,,34.6826776,-118.2371694,Hope Chapel Lancaster,661.943.1074,CA,93536
182,182,1500 N. Ave 53,Food Pantry,Los Angeles,,34.1213022,-118.1999599,Grace Presbyterian Church,818.957.8090,CA,90042
183,183,8824 Long Beach Boulevard,Food Pantry,South Gate,,33.956026,-118.220037,Iglesia Pentecostes Templo Calvario,310.713.1428,CA,90280
184,184,122 Ramona Avenue,Food Pantry,Monterey Park,,34.0616348,-118.1251851,St. Stephen's Community Outreach Program,626.573.9984,CA,91754
185,185,7301 S. Avalon Boulevard,Food Pantry,Los Angeles,,33.9735936,-118.2655739,Gospel Mission Baptist Church,323.759.8087,CA,90003
186,186,12000 E. Washington Boulevard,Food Pantry,Whittier,,33.9676128,-118.0553469,Salvation Army- Santa Fe Springs,562.696.9562,CA,90606
187,187,4357 West 3rd Street,Food Pantry,Los Angeles,,34.0691134,-118.3094234,Charismatic Ecumencial Ministries International,213.219.3228,CA,90020
188,188,600 West Queen Street,Food Pantry,Inglewood,,33.9624612,-118.3665755,First Lutheran Church of Inglewood,310.674.5103,CA,90301
189,189,410 E. Palmer Street,Food Pantry,Compton,,33.8983065,-118.2185064,Our Lady of Victory Conference,310.631.5100,CA,90221
190,190,9719 S. Avalon Boulevard,Food Pantry,Los Angeles,,33.9476946,-118.2655116,Greater New Unity Baptist Church,323.757.5094,CA,90003
191,191,5823 Willoughby Avenue,Food Pantry,Los Angeles,,34.0873928,-118.3231596,Hollywood West Tenant Action Committee,323.461.4957,CA,90038
192,192,17213 Lake Los Angeles Avenue,Food Pantry,Lake Los Angeles,,34.6072723,-117.8233091,Twin Lakes Community Church,661.264.1215,CA,93591
193,193,11134 Saticoy Street,Food Pantry,Sun Valley,,34.2082145,-118.3738402,Iglesia Fuente de Vida Community Center,818.765.0705,CA,91352
194,194,1021 Westside Drive,Food Pantry,Los Angeles,,34.0136274,-118.1376064,Eastmont S.D.A. Spanish Church,323.396.7729,CA,90022
195,195,1127 N. Lake Avenue,Food Pantry,Pasadena,,34.1652586,-118.1327954,Shield of Faith Christian Center of Pasadena,626.773.0505,CA,91104
196,196,4465 W. Melrose Avenue,Food Pantry,Los Angeles,,34.0838228,-118.2975894,The Great Vision Church,213-675-8291,CA,90029
