name,address,city,zip,address,latitude,longitude,phone,date,Frequency,Day of Week,Morning Opening Hour,Morning Closing Hour,Afternoon Opening Hour,Afternoon Closing Hour 1,Comments 1,Afternoon Closing Hour 2,Comments 2
Eastmont Community Center,701 Hoefner Avenue,Los Angeles,90022,"701 Hoefner Avenue, Los Angeles, CA 90022",34.0209713,-118.1500876,323.726.7998,,,Thursday,9:00:00 AM,11:00:00 AM,,,,,
Eastmont Community Center,701 Hoefner Avenue,Los Angeles,90022,"701 Hoefner Avenue, Los Angeles, CA 90022",34.0209713,-118.1500876,323.726.7998,,,Friday,9:00:00 AM,11:00:00 AM,,,,,
St. Mary's Place,7215 Newlin Avenue,Whittier,90602,"7215 Newlin Avenue, Whittier, CA 90602",33.9768912,-118.0412114,562.698.0107,,3rd,Saturday,,,12:00:00 PM,2:00:00 PM,,2:00:00 PM,
St. Mary's Place,7215 Newlin Avenue,Whittier,90602,"7215 Newlin Avenue, Whittier, CA 90602",33.9768912,-118.0412114,562.698.0107,,,Monday,9:00:00 AM,,,12:00:00 PM,Make Appointment,12:00:00 PM,Make Appointment
St. Mary's Place,7215 Newlin Avenue,Whittier,90602,"7215 Newlin Avenue, Whittier, CA 90602",33.9768912,-118.0412114,562.698.0107,,,Tuesday,9:00:00 AM,,,12:00:00 PM,Make Appointment,12:00:00 PM,Make Appointment
St. Mary's Place,7215 Newlin Avenue,Whittier,90602,"7215 Newlin Avenue, Whittier, CA 90602",33.9768912,-118.0412114,562.698.0107,,,Wednesday,9:00:00 AM,,,12:00:00 PM,Make Appointment,12:00:00 PM,Make Appointment
St. Francis Center,1835 S. Hope Street,Los Angeles,90015,"1835 S. Hope Street, Los Angeles, CA 90015",34.0339876,-118.2697209,213.747.5347,,,Tuesday,11:00:00 AM,,,12:30:00 PM,,12:30:00 PM,
St. Francis Center,1835 S. Hope Street,Los Angeles,90015,"1835 S. Hope Street, Los Angeles, CA 90015",34.0339876,-118.2697209,213.747.5347,,,Wednesday,11:00:00 AM,,,12:30:00 PM,,12:30:00 PM,
St. Francis Center,1835 S. Hope Street,Los Angeles,90015,"1835 S. Hope Street, Los Angeles, CA 90015",34.0339876,-118.2697209,213.747.5347,,,Thursday,11:00:00 AM,,,12:30:00 PM,,12:30:00 PM,
St. Francis Center,1835 S. Hope Street,Los Angeles,90015,"1835 S. Hope Street, Los Angeles, CA 90015",34.0339876,-118.2697209,213.747.5347,,,Saturday,11:00:00 AM,,,12:30:00 PM,,12:30:00 PM,
El Monte/South Emergency,10900 Mulhall Street,South El Monte,91731,"10900 Mulhall Street, South El Monte, CA 91731",34.0888812,-118.0288381,626.444.7269,,Deliver,Monday,8:00:00 AM,,,5:00:00 PM,,5:00:00 PM,
El Monte/South Emergency,10900 Mulhall Street,South El Monte,91731,"10900 Mulhall Street, South El Monte, CA 91731",34.0888812,-118.0288381,626.444.7269,,Deliver,Tuesday,8:00:00 AM,,,5:00:00 PM,,5:00:00 PM,
El Monte/South Emergency,10900 Mulhall Street,South El Monte,91731,"10900 Mulhall Street, South El Monte, CA 91731",34.0888812,-118.0288381,626.444.7269,,Deliver,Wednesday,8:00:00 AM,,,5:00:00 PM,,5:00:00 PM,
El Monte/South Emergency,10900 Mulhall Street,South El Monte,91731,"10900 Mulhall Street, South El Monte, CA 91731",34.0888812,-118.0288381,626.444.7269,,Deliver,Thursday,8:00:00 AM,,,5:00:00 PM,,5:00:00 PM,
El Monte/South Emergency,10900 Mulhall Street,South El Monte,91731,"10900 Mulhall Street, South El Monte, CA 91731",34.0888812,-118.0288381,626.444.7269,,Deliver,Friday,8:00:00 AM,,,5:00:00 PM,,5:00:00 PM,
Ecumenical Council of Pasadena Area Congregations,444 East Washington Boulevard,Pasadena,91104,"444 East Washington Boulevard, Pasadena, CA 91104",34.1687151,-118.1413359,626.797.2402,,,Tuesday,9:00:00 AM,,,3:00:00 PM,,3:00:00 PM,
Ecumenical Council of Pasadena Area Congregations,444 East Washington Boulevard,Pasadena,91104,"444 East Washington Boulevard, Pasadena, CA 91104",34.1687151,-118.1413359,626.797.2402,,,Wednesday,9:00:00 AM,,,3:00:00 PM,,3:00:00 PM,
Berean S.D.A. Church,4211 W. Adams Boulevard,Los Angeles,90018,"4211 W. Adams Boulevard, Los Angeles, CA 90018",34.0329576,-118.3310595,323.735.0228,,3rd,Thursday,9:00:00 AM,11:00:00 AM,,,,,
St. Lawrence of Brindisi,10122 Compton Avenue,Los Angeles,90002,"10122 Compton Avenue, Los Angeles, CA 90002",33.9443922,-118.2459688,323.567.1439,,,Tuesday,7:00:00 AM,8:30:00 AM,,,,,
St. Lawrence of Brindisi,10122 Compton Avenue,Los Angeles,90002,"10122 Compton Avenue, Los Angeles, CA 90002",33.9443922,-118.2459688,323.567.1439,,,Thursday,7:00:00 AM,8:30:00 AM,,,,,
North Hollywood Interfaith Food Pantry,4390 Colfax Avenue,North Hollywood,91604,"4390 Colfax Avenue, North Hollywood, CA 91604",34.1501988,-118.3872632,818.760.3575,,,Monday,8:30:00 AM,,,1:00:00 PM,,1:00:00 PM,
North Hollywood Interfaith Food Pantry,4390 Colfax Avenue,North Hollywood,91604,"4390 Colfax Avenue, North Hollywood, CA 91604",34.1501988,-118.3872632,818.760.3575,,,Friday,8:30:00 AM,,,1:00:00 PM,,1:00:00 PM,
Santa Clarita Valley Food Pantry,24133 Railroad Avenue,Newhall,91321,"24133 Railroad Avenue, Newhall, CA 91321",34.3764886,-118.5252283,661.255.9078,,3rd,Friday,9:00:00 AM,,,12:00:00 PM,,12:00:00 PM,
St. Thomas Center,2727 W.  Pico Boulevard,Los Angeles,90006,"2727 W.  Pico Boulevard, Los Angeles, CA 90006",34.0468917,-118.2989084,323.737.3325,,"1st, 2nd & 3rd",Saturday,7:00:00 AM,9:00:00 AM,,,,,
Lutheran Social Services of Southern California,21430 Strathern Street,Canoga Park,91304,"21430 Strathern Street, Canoga Park, CA 91304",34.2149184,-118.5986475,818.901.9480,,,Tuesday,10:00:00 AM,11:45:00 AM,1:00:00 PM,2:45:00 PM,,2:45:00 PM,
Lutheran Social Services of Southern California,21430 Strathern Street,Canoga Park,91304,"21430 Strathern Street, Canoga Park, CA 91304",34.2149184,-118.5986475,818.901.9480,,,Wednesday,10:00:00 AM,11:45:00 AM,1:00:00 PM,2:45:00 PM,,2:45:00 PM,
Lutheran Social Services of Southern California,21430 Strathern Street,Canoga Park,91304,"21430 Strathern Street, Canoga Park, CA 91304",34.2149184,-118.5986475,818.901.9480,,,Thursday,10:00:00 AM,11:45:00 AM,1:00:00 PM,2:45:00 PM,,2:45:00 PM,
Lutheran Social Services of Southern California,21430 Strathern Street,Canoga Park,91304,"21430 Strathern Street, Canoga Park, CA 91304",34.2149184,-118.5986475,818.901.9480,,,Friday,10:00:00 AM,11:45:00 AM,1:00:00 PM,2:45:00 PM,,2:45:00 PM,
Tamarind Avenue S.D.A. Church,417 S. Tamarind Avenue,Compton,90220,"417 S. Tamarind Avenue, Compton, CA 90220",33.892572,-118.2220425,310-386-8803,,4th,Tuesday,9:00:00 AM,,,12:00:00 PM,,12:00:00 PM,
Southeast Churches Service Center,2780 E. Gage Avenue,Huntington Park,90255,"2780 E. Gage Avenue, Huntington Park, CA 90255",33.9814503,-118.2202826,323.585.8254,,,Monday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,,4:00:00 PM,
Southeast Churches Service Center,2780 E. Gage Avenue,Huntington Park,90255,"2780 E. Gage Avenue, Huntington Park, CA 90255",33.9814503,-118.2202826,323.585.8254,,,Tuesday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,,4:00:00 PM,
Southeast Churches Service Center,2780 E. Gage Avenue,Huntington Park,90255,"2780 E. Gage Avenue, Huntington Park, CA 90255",33.9814503,-118.2202826,323.585.8254,,,Wednesday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,,4:00:00 PM,
Southeast Churches Service Center,2780 E. Gage Avenue,Huntington Park,90255,"2780 E. Gage Avenue, Huntington Park, CA 90255",33.9814503,-118.2202826,323.585.8254,,,Thursday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,,4:00:00 PM,
Southeast Churches Service Center,2780 E. Gage Avenue,Huntington Park,90255,"2780 E. Gage Avenue, Huntington Park, CA 90255",33.9814503,-118.2202826,323.585.8254,,,Friday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,,4:00:00 PM,
Maranatha S.D.A. Community Center,3569 W. Manchester Blvd.,Inglewood,90305,"3569 W. Manchester Blvd., Inglewood, CA 90305",33.9602274,-118.3348393,323.971.3511,,2nd & 4th,Saturday,,,2:00:00 PM,3:00:00 PM,,3:00:00 PM,
Sunland Tujunga T.A.C.,7747 Foothill Boulevard,Tujunga,91042,"7747 Foothill Boulevard, Tujunga, CA 91042",34.257828,-118.30091,818.352.2421,,,Wednesday,9:00:00 AM,11:30:00 AM,,,,,
Sunland Tujunga T.A.C.,7747 Foothill Boulevard,Tujunga,91042,"7747 Foothill Boulevard, Tujunga, CA 91042",34.257828,-118.30091,818.352.2421,,,Thursday,9:00:00 AM,11:30:00 AM,,,,,
Sunland Tujunga T.A.C.,7747 Foothill Boulevard,Tujunga,91042,"7747 Foothill Boulevard, Tujunga, CA 91042",34.257828,-118.30091,818.352.2421,,,Friday,9:00:00 AM,11:30:00 AM,,,,,
Boys & Girls Club-San Gabriel,2740 Mountain View Road,El Monte,91732,"2740 Mountain View Road, El Monte, CA 91732",34.0602394,-118.0239073,626.442.5470,,,Friday,11:00:00 AM,,,1:00:00 PM,,1:00:00 PM,
Catholic Charities of L.A.,4665 Willow Brook Avenue,Los Angeles,90029,"4665 Willow Brook Avenue, Los Angeles, CA 90029",34.0896046,-118.2934993,213.251.3597,,,Monday,10:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,,3:00:00 PM,
Catholic Charities of L.A.,4665 Willow Brook Avenue,Los Angeles,90029,"4665 Willow Brook Avenue, Los Angeles, CA 90029",34.0896046,-118.2934993,213.251.3597,,,Wednesday,10:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,,3:00:00 PM,
Catholic Charities of L.A.,4665 Willow Brook Avenue,Los Angeles,90029,"4665 Willow Brook Avenue, Los Angeles, CA 90029",34.0896046,-118.2934993,213.251.3597,,,Thursday,10:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,,3:00:00 PM,
Catholic Charities of L.A.,4665 Willow Brook Avenue,Los Angeles,90029,"4665 Willow Brook Avenue, Los Angeles, CA 90029",34.0896046,-118.2934993,213.251.3597,,,Friday,10:00:00 AM,12:00:00 PM,1:00:00 PM,3:00:00 PM,,3:00:00 PM,
Bethel S.D.A. Church,1921 N. Garey Avenue,Pomona,91767,"1921 N. Garey Avenue, Pomona, CA 91767",34.0812428,-117.7531627,909.630.5883,,1st & 3rd,Sunday,11:00:00 AM,,,1:00:00 PM,,1:00:00 PM,
Interfaith Food Center,11819 Burke Street,Sante Fe Springs,90670,"11819 Burke Street, Sante Fe Springs, CA 90670",33.962938,-118.0650479,562.903.1478,,,Monday,8:30:00 AM,10:00:00 AM,10:30:00 AM,12:00:00 PM,,12:00:00 PM,
Interfaith Food Center,11819 Burke Street,Sante Fe Springs,90670,"11819 Burke Street, Sante Fe Springs, CA 90670",33.962938,-118.0650479,562.903.1478,,,Tuesday,,,4:30:00 PM,7:00:00 PM,,7:00:00 PM,
Interfaith Food Center,11819 Burke Street,Sante Fe Springs,90670,"11819 Burke Street, Sante Fe Springs, CA 90670",33.962938,-118.0650479,562.903.1478,,,Tuesday,8:30:00 AM,10:00:00 AM,10:30:00 AM,12:00:00 PM,,12:00:00 PM,
Interfaith Food Center,11819 Burke Street,Sante Fe Springs,90670,"11819 Burke Street, Sante Fe Springs, CA 90670",33.962938,-118.0650479,562.903.1478,,,Thursday,8:30:00 AM,10:00:00 AM,10:30:00 AM,12:00:00 PM,,12:00:00 PM,
Interfaith Food Center,11819 Burke Street,Sante Fe Springs,90670,"11819 Burke Street, Sante Fe Springs, CA 90670",33.962938,-118.0650479,562.903.1478,,,Friday,8:30:00 AM,10:00:00 AM,10:30:00 AM,12:00:00 PM,,12:00:00 PM,
Foothill Unity Center,415 W. Chestnut Avenue,Monrovia,91016,"415 W. Chestnut Avenue, Monrovia, CA 91016",34.1427592,-118.0081715,626.359.1777,,,Monday,,,1:00:00 PM,3:30:00 PM,,3:30:00 PM,
Foothill Unity Center,415 W. Chestnut Avenue,Monrovia,91016,"415 W. Chestnut Avenue, Monrovia, CA 91016",34.1427592,-118.0081715,626.359.1777,,,Wednesday,9:00:00 AM,11:30:00 AM,,,,,
Foothill Unity Center,415 W. Chestnut Avenue,Monrovia,91016,"415 W. Chestnut Avenue, Monrovia, CA 91016",34.1427592,-118.0081715,626.359.1777,,,Friday,9:00:00 AM,11:30:00 AM,,,,,
University S.D.A. Church,1135 Martin Luther Kin Jr. Boulevard,Los Angeles,90037,"1135 Martin Luther Kin Jr. Boulevard, Los Angeles, CA 90037",34.0111729,-118.2955869,323.766.9889,,,Wednesday,,,1:00:00 PM,2:30:00 PM,,2:30:00 PM,
First Presbyterian Church,1809 West Boulevard.,Los Angeles,90019,"1809 West Boulevard., Los Angeles, CA 90019",34.0405644,-118.3372555,323.935.5204,,1st,Sunday,,,1:00:00 PM,2:00:00 PM,,2:00:00 PM,
First Presbyterian Church,1809 West Boulevard.,Los Angeles,90019,"1809 West Boulevard., Los Angeles, CA 90019",34.0405644,-118.3372555,323.935.5204,,3rd,Saturday,9:00:00 AM,11:00:00 AM,,,,,
Our Lady Queen of Angels Catholic Church,535 N. Main Street,Los Angeles,90012,"535 N. Main Street, Los Angeles, CA 90012",34.05707,-118.239577,213.629.3101,,,Friday,8:00:00 AM,11:00:00 AM,,,,,
Salvation Army-Pasadena Tabernacle,1000 E.Walnut Street,Pasadena,91106,"1000 E.Walnut Street, Pasadena, CA 91106",34.1493046,-118.1297902,626.773.4400,,,Monday,9:00:00 AM,11:30:00 AM,,,BY APPT IN THE PM.,,BY APPT IN THE PM.
Salvation Army-Pasadena Tabernacle,1000 E.Walnut Street,Pasadena,91106,"1000 E.Walnut Street, Pasadena, CA 91106",34.1493046,-118.1297902,626.773.4400,,,Tuesday,9:00:00 AM,11:30:00 AM,,,BY APPT IN THE PM.,,BY APPT IN THE PM.
Salvation Army-Pasadena Tabernacle,1000 E.Walnut Street,Pasadena,91106,"1000 E.Walnut Street, Pasadena, CA 91106",34.1493046,-118.1297902,626.773.4400,,,Wednesday,9:00:00 AM,11:30:00 AM,,,BY APPT IN THE PM.,,BY APPT IN THE PM.
Salvation Army-Pasadena Tabernacle,1000 E.Walnut Street,Pasadena,91106,"1000 E.Walnut Street, Pasadena, CA 91106",34.1493046,-118.1297902,626.773.4400,,,Thursday,9:00:00 AM,11:30:00 AM,,,BY APPT IN THE PM.,,BY APPT IN THE PM.
Salvation Army-Pasadena Tabernacle,1000 E.Walnut Street,Pasadena,91106,"1000 E.Walnut Street, Pasadena, CA 91106",34.1493046,-118.1297902,626.773.4400,,,Friday,9:00:00 AM,11:30:00 AM,,,BY APPT IN THE PM.,,BY APPT IN THE PM.
Church of the Epiphany,2808 Altura Street,Los Angeles,90031,"2808 Altura Street, Los Angeles, CA 90031",34.0752843,-118.21285,323.227.9931,,2nd & 4th,Friday,10:30:00 AM,11:30:00 AM,,,,12:00:00 PM,
Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,"3739 North Monterey Avenue, Baldwin Park, CA 91706",34.0802977,-117.9766557,626.960.9585,,Emergency Appt.,Monday,9:00:00 AM,,,1:00:00 PM,,,
Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,"3739 North Monterey Avenue, Baldwin Park, CA 91706",34.0802977,-117.9766557,626.960.9585,,Emergency Appt.,Tuesday,9:00:00 AM,,,1:00:00 PM,,1:00:00 PM,
Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,"3739 North Monterey Avenue, Baldwin Park, CA 91706",34.0802977,-117.9766557,626.960.9585,,Emergency Appt.,Wednesday,9:00:00 AM,,,1:00:00 PM,,1:00:00 PM,
Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,"3739 North Monterey Avenue, Baldwin Park, CA 91706",34.0802977,-117.9766557,626.960.9585,,Emergency Appt.,Thursday,9:00:00 AM,,,1:00:00 PM,,1:00:00 PM,
Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,"3739 North Monterey Avenue, Baldwin Park, CA 91706",34.0802977,-117.9766557,626.960.9585,,Emergency Appt.,Friday,9:00:00 AM,,,1:00:00 PM,,1:00:00 PM,
Church of the Redeemer,3739 North Monterey Avenue,Baldwin Park,91706,"3739 North Monterey Avenue, Baldwin Park, CA 91706",34.0802977,-117.9766557,626.960.9585,,Last,Saturday,7:00:00 AM,9:00:00 AM,,,,1:00:00 PM,
Holy Cross Center,104 W. 47th Place,Los Angeles,90037,"104 W. 47th Place, Los Angeles, CA 90037",33.9997088,-118.2742456,323.232.3333,,,Monday,9:00:00 AM,11:00:00 AM,,,,,
Holy Cross Center,104 W. 47th Place,Los Angeles,90037,"104 W. 47th Place, Los Angeles, CA 90037",33.9997088,-118.2742456,323.232.3333,,,Wednesday,9:00:00 AM,11:00:00 AM,,,,,
Holy Cross Center,104 W. 47th Place,Los Angeles,90037,"104 W. 47th Place, Los Angeles, CA 90037",33.9997088,-118.2742456,323.232.3333,,,Friday,9:00:00 AM,11:00:00 AM,,,,,
Willowbrook Project Area Commission,11901 S. Willowbrook Avenue,Los Angeles,90059,"11901 S. Willowbrook Avenue, Los Angeles, CA 90059",33.9244622,-118.23627,323-569-7676,,2nd,Wednesday,,,5:00:00 PM,7:00:00 PM,,,
Willowbrook Project Area Commission,11901 S. Willowbrook Avenue,Los Angeles,90059,"11901 S. Willowbrook Avenue, Los Angeles, CA 90059",33.9244622,-118.23627,323-569-7676,,3rd,Saturday,10:00:00 AM,,12:00:00 PM,,,7:00:00 PM,
St. Agnes Parish,2625 S. Vermont Avenue,Los Angeles,90007,"2625 S. Vermont Avenue, Los Angeles, CA 90007",34.0320812,-118.2918201,323-731-2464,,,Monday,9:00:00 AM,10:30:00 AM,,,,,
St. Agnes Parish,2625 S. Vermont Avenue,Los Angeles,90007,"2625 S. Vermont Avenue, Los Angeles, CA 90007",34.0320812,-118.2918201,323-731-2464,,,Tuesday,9:00:00 AM,10:30:00 AM,,,,,
St. Agnes Parish,2625 S. Vermont Avenue,Los Angeles,90007,"2625 S. Vermont Avenue, Los Angeles, CA 90007",34.0320812,-118.2918201,323-731-2464,,,Thursday,9:00:00 AM,10:30:00 AM,,,,,
St. Agnes Parish,2625 S. Vermont Avenue,Los Angeles,90007,"2625 S. Vermont Avenue, Los Angeles, CA 90007",34.0320812,-118.2918201,323-731-2464,,,Friday,9:00:00 AM,10:30:00 AM,,,,,
Our Saviour Center,4368 Santa Anita Avenue,EL Monte,91731,"4368 Santa Anita Avenue, EL Monte, CA 91731",34.0853655,-118.0293332,626.579.2190,,,Tuesday,10:00:00 AM,,,1:00:00 PM,,,
Our Saviour Center,4368 Santa Anita Avenue,EL Monte,91731,"4368 Santa Anita Avenue, EL Monte, CA 91731",34.0853655,-118.0293332,626.579.2190,,,Thursday,10:00:00 AM,,,1:00:00 PM,Closed 11/26 and 12/24,1:00:00 PM,
Loaves & Fishes-Canoga Park,21600 Hart Street,Canoga Park,91303,"21600 Hart Street, Canoga Park, CA 91303",34.1973704,-118.6002723,818.340.2050,,,Monday,9:00:00 AM,,,12:00:00 PM,,1:00:00 PM,Closed 11/26 and 12/24
Loaves & Fishes-Canoga Park,21600 Hart Street,Canoga Park,91303,"21600 Hart Street, Canoga Park, CA 91303",34.1973704,-118.6002723,818.340.2050,,,Wednesday,9:00:00 AM,,,12:00:00 PM,,12:00:00 PM,
Loaves & Fishes-Canoga Park,21600 Hart Street,Canoga Park,91303,"21600 Hart Street, Canoga Park, CA 91303",34.1973704,-118.6002723,818.340.2050,,,Friday,9:00:00 AM,,,12:00:00 PM,,12:00:00 PM,
All Peoples Christian Center,822 E. 20th Street,Los Angeles,90011,"822 E. 20th Street, Los Angeles, CA 90011",34.0257601,-118.256703,213-747-6357,,,Friday,,,12:00:00 PM,5:00:00 PM,,12:00:00 PM,
Fifty Fourth Street S.D.A. Church,1973 West 54th Street,Los Angeles,90062,"1973 West 54th Street, Los Angeles, CA 90062",33.9935442,-118.3134514,323-292-2762,,2nd & 4th,Tuesday,8:00:00 AM,10:00:00 AM,,,,5:00:00 PM,
Prince of Peace Coalition,5700 Rudnick Avenue,Woodland Hills,91367,"5700 Rudnick Avenue, Woodland Hills, CA 91367",34.1732527,-118.6120677,818-346-5554,,,Monday,10:00:00 AM,,,3:00:00 PM,,,
Prince of Peace Coalition,5700 Rudnick Avenue,Woodland Hills,91367,"5700 Rudnick Avenue, Woodland Hills, CA 91367",34.1732527,-118.6120677,818-346-5554,,,Tuesday,10:00:00 AM,,,3:00:00 PM,,3:00:00 PM,
Prince of Peace Coalition,5700 Rudnick Avenue,Woodland Hills,91367,"5700 Rudnick Avenue, Woodland Hills, CA 91367",34.1732527,-118.6120677,818-346-5554,,,Wednesday,10:00:00 AM,,,3:00:00 PM,,3:00:00 PM,
Prince of Peace Coalition,5700 Rudnick Avenue,Woodland Hills,91367,"5700 Rudnick Avenue, Woodland Hills, CA 91367",34.1732527,-118.6120677,818-346-5554,,,Thursday,10:00:00 AM,,,3:00:00 PM,,3:00:00 PM,
Prince of Peace Coalition,5700 Rudnick Avenue,Woodland Hills,91367,"5700 Rudnick Avenue, Woodland Hills, CA 91367",34.1732527,-118.6120677,818-346-5554,,,Friday,10:00:00 AM,,,12:00:00 PM,,3:00:00 PM,
St. James Episcopal Church-Hope Net,3903 Wilshire Boulevard,Los Angeles,90010,"3903 Wilshire Boulevard, Los Angeles, CA 90010",34.062042,-118.3119697,323-934-5870,,,Thursday,8:00:00 AM,9:00:00 AM,,,,12:00:00 PM,
St. Athanasius & St. Paul Church,840 Echo Park Avenue,Los Angeles,90026,"840 Echo Park Avenue, Los Angeles, CA 90026",34.0733551,-118.2591402,213.908.8827,,,Friday,8:00:00 AM,10:30:00 AM,,,,,
St. Philip's Episcopal Church,2800 Stanford Avenue,Los Angeles,90011,"2800 Stanford Avenue, Los Angeles, CA 90011",34.0186835,-118.2606782,323-291-8917,,2nd & 4th,Tuesday,7:30:00 AM,8:30:00 AM,,,,,
San Gabriel Valley Y.W.C.A.,510 N. Vineland Avenue,La Puente,91746,"510 N. Vineland Avenue, La Puente, CA 91746",34.051539,-117.986823,626-333-0294,,,Friday,9:00:00 AM,11:00:00 AM,,,,,
Meet Each Need with Dignity,10641 San Fernando Road,Pacoima,91331,"10641 San Fernando Road, Pacoima, CA 91331",34.2629693,-118.4195241,818.686.7334,,,Tuesday,8:00:00 AM,,,2:00:00 PM,,,
Meet Each Need with Dignity,10641 San Fernando Road,Pacoima,91331,"10641 San Fernando Road, Pacoima, CA 91331",34.2629693,-118.4195241,818.686.7334,,,Thursday,8:00:00 AM,,,2:00:00 PM,,2:00:00 PM,
Meet Each Need with Dignity,10641 San Fernando Road,Pacoima,91331,"10641 San Fernando Road, Pacoima, CA 91331",34.2629693,-118.4195241,818.686.7334,,,Friday,8:00:00 AM,,,2:00:00 PM,,2:00:00 PM,
Meet Each Need with Dignity,10641 San Fernando Road,Pacoima,91331,"10641 San Fernando Road, Pacoima, CA 91331",34.2629693,-118.4195241,818.686.7334,,,Saturday,9:00:00 AM,,,12:00:00 PM,,2:00:00 PM,
Fred Jordan Mission,445  Towne Avenue,Los Angeles,90013,"445  Towne Avenue, Los Angeles, CA 90013",34.0433355,-118.2419919,213-489-7763,,,Monday,,,12:00:00 PM,1:00:00 PM,,12:00:00 PM,
Fred Jordan Mission,445  Towne Avenue,Los Angeles,90013,"445  Towne Avenue, Los Angeles, CA 90013",34.0433355,-118.2419919,213-489-7763,,,Tuesday,,,12:00:00 PM,1:00:00 PM,,1:00:00 PM,
Fred Jordan Mission,445  Towne Avenue,Los Angeles,90013,"445  Towne Avenue, Los Angeles, CA 90013",34.0433355,-118.2419919,213-489-7763,,,Wednesday,,,12:00:00 PM,1:00:00 PM,,1:00:00 PM,
Fred Jordan Mission,445  Towne Avenue,Los Angeles,90013,"445  Towne Avenue, Los Angeles, CA 90013",34.0433355,-118.2419919,213-489-7763,,,Thursday,,,12:00:00 PM,1:00:00 PM,,1:00:00 PM,
Fred Jordan Mission,445  Towne Avenue,Los Angeles,90013,"445  Towne Avenue, Los Angeles, CA 90013",34.0433355,-118.2419919,213-489-7763,,,Friday,,,12:00:00 PM,1:00:00 PM,,1:00:00 PM,
Sacred Heart Church,2210 Sichel Street,Los Angeles,90031,"2210 Sichel Street, Los Angeles, CA 90031",34.0703284,-118.2126261,323.221.3179,,1st & 3rd,Thursday,10:00:00 AM,,,12:30:00 PM,,1:00:00 PM,
Salvation Army- Whittier Corp.,7926 Pickering Avenue,Whittier,90602,"7926 Pickering Avenue, Whittier, CA 90602",33.9691227,-118.0417514,562-698-8348,,,Monday,,,1:00:00 PM,2:45:00 PM,,12:30:00 PM,
