UID,name,address,city,state,zip,latitude,longitude,,,,,,,,,,,
,82Nd Market,5204 Melrose Ave,,CA,90038,34.083454,-118.313735,(323) 466-6730,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,88 Cents & More Asian Grocery,10823 Venice Blvd,Los Angeles,CA,90034,34.0173,-118.41,,,,,,,,,PST,LACity,
,911 Food Mart,11909 W Pico Blvd,Los Angeles,CA,90064,34.03039,-118.449,(310) 478-3305,,,,,,,,PST,LACity,https://www.yelp.com/biz/911-food-mart-los-angeles
,95 Cent Discount Store,620 S Glendale Ave Suite #H,Glendale,CA,91205,34.1397,-118.25,,,,,,,,,PST,LACity,
,96 Cent & Up,4683 W Century Blvd,Inglewood,CA,90304,33.94548,-118.359,(310) 671-9999,,,,,,,,PST,Yelp,https://www.yelp.com/biz/96-cent-and-up-inglewood
,9657 Inc,9657 Comanche Ave,Chatsworth,CA,91311,34.2453,-118.57,,,,,,,,,PST,LACity,
,97 Cent Store,1831 James M Wood Blvd,Los Angeles,CA,90006,34.052238,-118.276237,(213) 365-6264,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,PST,Factual,http://www.centralmarket.com/Home.aspx
,97 Cent Store,4430 Slauson Ave,,CA,90270,33.987127,-118.186353,(323) 560-1374,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,PST,Factual,
,98 Cent City,13961 Amar Rd,La Puente,CA,91746,34.05274,-117.973,(626) 960-4977,,,,,,,,PST,Yelp,https://www.yelp.com/biz/98-cent-city-la-puente
,98 Cent Plus,738 W Compton Blvd,,CA,90220,33.895785,-118.236878,(310) 537-8075,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,PST,Factual,
,98 Cent Plus,739 Indian Hill Blvd,,CA,91767,34.066248,-117.719355,(909) 868-9089,,,,,,,,PST,Factual,
,98 Cent Soto Discount Store,2315 E 4Th St,Los Angeles,CA,90033,34.041116,-118.212526,(323) 264-7900,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,PST,Factual,https://www.yelp.com/biz/ninety-eight-cent-soto-discount-los-angeles
,98 Cent Soto Discount Store,2315 E 4Th St,,CA,90033,34.041116,-118.212526,(323) 264-7900,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,PST,Factual,
,98 Plus Market,609 N Long Beach Blvd,,CA,90221,33.900386,-118.20837,(310) 635-7484,,,,,,,,PST,Factual,
,98Th Discount Market,9814 S Figueroa St,,CA,90003,33.946874,-118.282437,(323) 755-6455,,,,,,,,PST,Factual,
,98Th Ok Market,9727 S Figueroa St,,CA,90003,33.947747,-118.282849,(323) 242-9084,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,98������_ Store Your Convinience,4415 Eagle Rock Blvd,Eagle Rock,CA,90041,34.1244,-118.22,,,,,,,,,PST,LACity,
,99 Cent Only Stores,12125 Carson St,Hawaiian Gardens,CA,90716,33.83166,-118.075,(562) 420-9900,,,,,,,,PST,Yelp,https://www.yelp.com/biz/99-cent-only-stores-hawaiian-gardens
,99 Cent Only Stores,8625 Woodman Ave,Arleta,CA,91331,34.22718,-118.434,(818) 891-9991,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,PST,Yelp,https://www.yelp.com/biz/99-cent-only-stores-arleta
,99 Cent Plus Bargain,125 W Pacific Coast Highway,Wilmington,CA,90744,33.7911,-118.26,,,,,,,,,PST,LACity,
,99 Cent U Mart,15860 Gale Ave,Hacienda Heights,CA,91745,34.01006,-117.961,(626) 336-8383,,,,,,,,PST,Yelp,https://www.yelp.com/biz/99-cent-u-mart-hacienda-heights
,99 Cents For Less,10207 S Vermont Ave,,CA,90044,33.943891,-118.291982,(323) 757-9632,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,PST,Factual,http://www.99only.com/
,99 Cents Market Matamoros,5859 Compton Ave,,CA,90001,33.988339,-118.247906,(323) 589-8287,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,PST,Factual,http://www.99only.com/
,99 Cents Mini Market,11229 1/2 S Broadway,,CA,90061,33.93255,-118.278716,(323) 755-9244,,,,,,,,PST,Factual,
,99 Cents Only Store,11916 Paramount Blvd,Downey,CA,90241,33.90456,-118.16,(562) 923-9882,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,PST,Yelp,https://www.yelp.com/biz/99-cents-only-store-downey
,99 Cents Only Store,1617 N Hacienda Blvd,La Puente,CA,91744,34.04943,-117.947,(626) 918-6699,,,,,,,,PST,Yelp,https://www.yelp.com/biz/99-cents-only-store-la-puente
,99 Cents Only Store,780 E Arrow Hwy,Pomona,CA,91767,34.08892,-117.737,(909) 624-9996,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,PST,Yelp,https://www.yelp.com/biz/99-cents-only-store-pomona
,99 Cents Only Store,8750 Tampa Ave,Northridge,CA,91324,34.22965,-118.553,(818) 773-7243,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,PST,Yelp,https://www.yelp.com/biz/99-cents-only-store-northridge-2
,99 Cents Only Store,8966 Reseda Blvd,Northridge,CA,91324,34.23402,-118.535,(818) 700-2599,,,,,,,,PST,Yelp,https://www.yelp.com/biz/99-cents-only-store-northridge
,99 Cents Only Stores,12717-41 W Washington Blvd,Los Angeles,CA,90066,33.99656,-118.436,(310) 577-8998,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,PST,Yelp,https://www.yelp.com/biz/99-cents-only-stores-los-angeles-16
,99 Cents Only Stores,14139 Paramount Blvd,Paramount,CA,90723,33.90469,-118.161,(562) 634-9023,,,,,,,,PST,Yelp,https://www.yelp.com/biz/99-cents-only-stores-paramount-2
,99 Cents Only Stores,321 N Vincent Ave,Covina,CA,91722,34.08848,-117.926,(626) 962-5699,,,,,,,,PST,Yelp,https://www.yelp.com/biz/99-cents-only-stores-covina
,99 Cents Only Stores,4304 Lankershim Blvd,North Hollywood,CA,91602,34.14831,-118.364,(818) 980-9123,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,PST,Yelp,https://www.yelp.com/biz/99-cents-only-stores-north-hollywood
,99 Cents Only Stores,6854 La Tijera Blvd,Los Angeles,CA,90189,33.97595,-118.373,(310) 670-9900,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,PST,Yelp,https://www.yelp.com/biz/99-cents-only-stores-los-angeles-22
,99 Cents Only Stores,6921 La Tijera Blvd,Los Angeles,CA,90045,33.97596,-118.374,(310) 258-9490,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,PST,Yelp,https://www.yelp.com/biz/99-cents-only-stores-los-angeles-10
,99 Cents Plus Market,4202 Union Pacific Ave,,CA,90023,34.016464,-118.1836,(323) 262-2610,,,,,,,,PST,Factual,
,99 Cents Store & Groceries,4146 E Olympic Blvd,,CA,90023,34.018691,-118.184565,(323) 307-0728,,,,,,,,PST,Factual,
,99 Cents Store Only,44665 Valley Central Way,Lancaster,CA,93536,34.69412,-118.172,(661) 942-4929,,,,,,,,PST,Yelp,https://www.yelp.com/biz/99-cents-store-only-lancaster
,99 Cents Up Buena Vista,1931 W 6Th St,,CA,90057,34.05882,-118.273042,(213) 989-2135,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,PST,Factual,http://www.99only.com/
,99 Market,1050 W Garvey Ave,Monterey Park,CA,91754,34.062061,-118.138911,(626) 282-9967,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,http://www.99ranch.com/
,99 Mart,1928 E 103Rd St,,CA,90002,33.943015,-118.238216,(323) 357-0123,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 10:00 PM,PST,Factual,
,99 Ranch,345 E Main St,Alhambra,CA,91801,34.097423,-118.123565,(626) 943-8899,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,PST,Factual,http://www.99ranch.com/
,99 Ranch Market,1015 Nogales St,Rowland Heights,CA,91748,33.996706,-117.89056,(626) 964-5888,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,PST,Factual,http://www.99ranch.com/
,99 Ranch Market,1300 S Golden West Ave,Arcadia,CA,91007,34.123918,-118.059246,(626) 445-7899,9:00 AM - 9:30 PM,9:00 AM - 9:30 PM,9:00 AM - 9:30 PM,9:00 AM - 9:30 PM,9:00 AM - 9:30 PM,9:00 AM - 9:30 PM,9:00 AM - 9:30 PM,PST,Factual,http://www.99ranch.com/
,99 Ranch Market,1340 W Artesia Blvd,,CA,90248,33.872403,-118.297189,(310) 323-3399,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,PST,Factual,http://www.99ranch.com/
,99 Ranch Market,1340 W. Artesia Blvd.,Gardena,CA,90248,33.87225,-118.297,(310) 323-3399,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,PST,Yelp,https://www.yelp.com/biz/99-ranch-market-gardena
,99 Ranch Market,140 W Valley Blvd,San Gabriel,CA,91776,34.075208,-118.099404,(626) 307-8899,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,PST,Factual,http://www.99ranch.com
,99 Ranch Market,1625 Azusa Ave.,Hacienda Heights,CA,91745,33.993,-117.934,(626) 839-2899,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,9:00 AM to 10:00 PM,PST,Yelp,https://www.yelp.com/biz/99-ranch-market-hacienda-heights
,99 Ranch Market,17713 Pioneer Blvd,,CA,90701,33.869676,-118.082703,(562) 924-8899,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,PST,Factual,http://www.99ranch.com/
,99 Ranch Market,17713 Pioneer Blvd.,Artesia,CA,90701,33.86957,-118.083,(562) 924-8899,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,PST,Yelp,https://www.yelp.com/biz/99-ranch-market-artesia
,99 Ranch Market,2959 Chino Ave,Chino Hills,CA,91709,34.009794,-117.740878,(909) 517-3288,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,PST,Factual,http://www.99ranch.com/
