X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,name,address,addrln2,city,state,hours,phone,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.278032055818429,34.090442446664014,47867426,211,,Community Groups,Farmers Markets,,,Silverlake Certified Farmers' Market,3700 W Sunset Blvd,,Los Angeles,CA,"Saturday, 8:00am to 1:00pm. ",Edwin Gomez Service/Intake (323) 661-7771,www.cafarmersmarkets.com,,,71523,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90026,http://egis3.lacounty.gov/lms/?p=71523,publish,34.090442,-118.278032,,2010-11-01T11:50:56.000Z,,6477489.617407,1855410.569311
-118.599018055766962,34.197693966216413,47867427,211,,Community Groups,Farmers Markets,,,Topanga Westfield Certified Farmers' Market,6600 Topanga Blvd.,,Canoga Park,CA,"Saturday, 10:00am to 2:00pm. ",Tracy Pieper Service/Intake (818) 344-6206,www.cafarmersmarkets.com,,,71525,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91303,http://egis3.lacounty.gov/lms/?p=71525,publish,34.197694,-118.599018,,2010-11-01T11:50:56.000Z,,6380537.013412,1894864.661006
-118.254088556124003,33.943279147220217,47867428,211,,Community Groups,Farmers Markets,,,Watts Healthy Certified Farmers' Market,E 103Rd St & S Central Ave,,Los Angeles,CA,"Saturday, 10:00am to 2:00pm. ",Pompea Smith Service/Intake (323) 463-3171,www.cafarmersmarkets.com,,,71527,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90002,http://egis3.lacounty.gov/lms/?p=71527,publish,33.943279,-118.254088,,2010-11-01T11:50:56.000Z,,6484603.681263,1801835.849689
-117.928607357512647,34.068409187115137,47867429,211,,Community Groups,Farmers Markets,,,West Covina Certified Farmers' Market,1035 W Covina Pkwy,,West Covina,CA,"Saturday, 8:00am to 1:00pm. ",Roger Evans Service/Intake (626) 338-8496,www.cafarmersmarkets.com,,,71528,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91790,http://egis3.lacounty.gov/lms/?p=71528,publish,34.068409,-117.928607,,2010-11-01T11:50:56.000Z,,6583291.863807,1847283.508137
-117.962334156639955,34.03963557727208,47868800,211,,Community Groups,Farmers Markets,,,Valinda / La Puente Certified Farmers' Market,747 N. Rimgrove Drive,Rimgrove Park,La Puente,CA,"Thursdays, April-September 10:00am to 3:00pm. ",Lilia Rivas Service/Intake (323) 263-4462,www.cafarmersmarkets.com,,,71493,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91744,http://egis3.lacounty.gov/lms/?p=71493,publish,34.039636,-117.962334,,2014-05-08T14:07:02.000Z,,6573081.506603,1836806.691821
-118.277059156455039,34.089870347003483,47868801,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Silverlake Tuesday Certified Farmers' Market,1500 Griffith Park Blvd,,Los Angeles,CA,"Tuesdays, April through December 2:00 pm to 7:30 pm",Edwin Gomez Service/Intake and Administration (213) 413-7770,www.cafarmersmarkets.com,,,60964,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90026,http://egis3.lacounty.gov/lms/?p=60964,publish,34.08987,-118.277059,,2014-05-08T14:18:33.000Z,,6477783.610913,1855201.558902
-117.802724257651505,34.106664697391523,47868802,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,San Dimas Certified Farmers' Market,245 E Bonita Ave & N Walnut Ave,,San Dimas,CA,"Wednesdays, April through September, 5:00pm to 9:00pm. ",Maurice Cuellar Service/Intake and Administration (909) 581-4744,www.cafarmersmarkets.com,,,61004,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91773,http://egis3.lacounty.gov/lms/?p=61004,publish,34.106665,-117.802724,,2014-05-08T14:21:14.000Z,,6621388.655396,1861256.337147
-118.057863456447365,34.107690277023785,47868803,211,,Community Groups,Farmers Markets,,,Temple City Certified Farmers' Market,9701 Las  Tunas Dr,City Hall parking lot,Temple City,CA,"Sundays, yeaar-round, 8:30am to 12:30pm. ",Gretchen Sterling Service/Intake (626) 422-1419,www.cafarmersmarkets.com,,,71466,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91780,http://egis3.lacounty.gov/lms/?p=71466,publish,34.10769,-118.057863,,2014-05-12T13:19:36.000Z,,6544154.417804,1861576.000222
-118.092909056914124,34.160397967066956,47868804,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Pasadena Victory Park Certified Farmers' Market,2900 N. Sierra Madre Blvd between Paloma and Washington Avenues,Victory Park,Pasadena,CA,,Gretchen Sterling Service/Intake and Administration (626) 449-0179,www.cafarmersmarkets.com,,,60969,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91101,http://egis3.lacounty.gov/lms/?p=60969,publish,34.160398,-118.092909,,2014-05-12T13:35:21.000Z,,6533563.446532,1880765.245964
-118.446226355436352,34.061675117098901,47868805,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Westwood Village Certified Farmers' Market,1050 Broxton Ave,Between Weyburn & Kinross Ave,Westwood,CA,"Sundays, year-round 10:00am to 3:00pm",Stephen Whipple Service/Intake and Administration (323) 282-0258,www.cafarmersmarkets.com,,,60983,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90024,http://egis3.lacounty.gov/lms/?p=60983,publish,34.061675,-118.446226,,2014-05-12T13:47:12.000Z,,6426518.644218,1845125.155171
-118.353782256350428,34.152223287038225,47868806,211,,Community Groups,Farmers Markets,,,Toluca Lake Certified Farmers' Market,Sancola Ave & Riverside Dr,,Toluca Lake,CA," Sundays, year-round. 9:00am to 2:00pm",Tanja Castle Service/Intake (310) 633-3966,www.cafarmersmarkets.com,,,71033,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91610,http://egis3.lacounty.gov/lms/?p=71033,publish,34.152223,-118.353782,,2014-05-12T13:49:14.000Z,,6454633.682804,1877965.702022
-118.133870756455295,33.883675737157226,47868807,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Bellflower Certified Farmers' Market,16614 Clark Ave at Oak Street, ,Bellflower,CA,"Mondays, year-round 9:00am - 1:00pm",Angela Higuera Service/Intake and Administration (562) 866-8142,www.cafarmersmarkets.com,,,60956,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90706,http://egis3.lacounty.gov/lms/?p=60956,publish,33.883676,-118.133871,,2014-05-12T14:02:51.000Z,,6521037.58182,1780074.45522
-118.416017855521659,33.956528416754963,47868808,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Westchester Park Certified Farmers' Market,Lincoln Blvd & La Tijera Blvd,,Los Angeles,CA,"Wednesdays, year-round 8:30am to 1:00pm. ",Diana Rodgers Service/Intake and Administration (310) 582-5850,www.cafarmersmarkets.com,,,60999,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90045,http://egis3.lacounty.gov/lms/?p=60999,publish,33.956528,-118.416018,,2014-05-12T14:04:06.000Z,,6435509.681682,1806821.216359
-118.334896256268522,34.039642596868028,47868809,211,,Community Groups,Farmers Markets,,,Wellington Square Certified Farmer's Market,4394 W Washington Blvd,,Los Angeles,CA,"Sundays, year-round, 9:00am to 1:00pm. ",Lora Davis Service/Intake (323) 732-4464,www.cafarmersmarkets.com,,,71467,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90016,http://egis3.lacounty.gov/lms/?p=71467,publish,34.039643,-118.334896,,2014-05-12T14:12:06.000Z,,6460211.111938,1836976.120616
-118.388196555616346,33.837509287338037,47868810,211,,Community Groups,Farmers Markets,,,Redondo Beach Certified Farmers' Market,"Torrance Boulevard, West of Veteran's Park",,Redondo Beach,CA,"Thursdays, year-round, Closed Thanksgiving, 8:00am to 1:00pm",Nancy Jones Service/Intake and Administration (310) 372-1171 Ext.2252,www.cafarmersmarkets.com,,,71022,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90277,http://egis3.lacounty.gov/lms/?p=71022,publish,33.837509,-118.388197,,2014-05-12T15:49:39.000Z,,6443779.389224,1763473.923788
-118.000916056641699,34.144818447370149,47868811,211,,Community Groups,Farmers Markets,,,Monrovia Certified Farmers' Market - Friday,200 Block of Myrtle Ave,Adjacent to Library Park,Monrovia,CA,"Fridays, year-round, 5:00pm to 9:00pm. ",Dave Gayman Service/Intake (866) 440-3374,www.cafarmersmarkets.com,,,71514,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91016,http://egis3.lacounty.gov/lms/?p=71514,publish,34.144818,-118.000916,,2014-05-13T12:41:32.000Z,,6561393.166463,1875082.587382
-118.285693556260497,33.738765177325973,47868812,211,,Community Groups,Farmers Markets,,,San Pedro Certified Farmers' Market,W 6Th St & S Mesa St,"Old Town San Pedro, betweeb Mesa and Pacific",San Pedro,CA,"Fridays, year-round, 9:00am to 2:00pm. ",Lee Ostendorf Service/Intake and Administration (562) 449-9299,www.cafarmersmarkets.com,,,71024,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90731,http://egis3.lacounty.gov/lms/?p=71024,publish,33.738765,-118.285693,,2014-05-13T12:47:20.000Z,,6474806.171002,1727433.980448
-118.325773056289293,33.826917266933734,47868813,211,,Community Groups,Farmers Markets,,,Torrance Saturday Certified Farmers' Market,2200 Crenshaw Blvd,Wilson Park,Torrance,CA,"Tuesdays and Saturdays, year-round, 8:00am to 1:00pm. ",Mary Lou Weiss Service/Intake (310) 781-7520,www.cafarmersmarkets.com,,,71526,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90503,http://egis3.lacounty.gov/lms/?p=71526,publish,33.826917,-118.325773,,2014-05-13T12:51:49.000Z,,6462724.143657,1759551.907026
-118.465614956338328,34.021544726405288,47868814,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Santa Monica Pico Certified Farmers' Market,Cloverfield Blvd & Pico Blvd,,Santa Monica,CA,"Saturdays, year-round, 8:00am to 1:00pm",Ted Galvan Service/Intake and Administration (310) 458-8712,www.cafarmersmarkets.com,,,60963,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90401,http://egis3.lacounty.gov/lms/?p=60963,publish,34.021545,-118.465615,,2014-05-13T13:17:38.000Z,,6420578.675127,1830547.709588
-118.450452356355214,34.045745487133281,47868815,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,West Los Angeles Certified Farmers' Market,1645 Corinth Avenue at Santa Monica Blvd,West of the 405 Freeway,Los Angeles,CA,"Sundays, year-round, 9:00am to 2:00pm. ",Lee Ostendorf Service/Intake (562) 449-9299,www.cafarmersmarkets.com,,,61003,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90025,http://egis3.lacounty.gov/lms/?p=61003,publish,34.045746,-118.450452,,2014-05-13T13:21:25.000Z,,6425212.715727,1839333.820625
-118.036156056419046,33.979112216992277,47868817,211,,Community Groups,Farmers Markets,,,Uptown Whittier Certified Farmers' Market,Bright Ave & Philadelphia St,,Whittier,CA,"Fridays, year-round, 8:00am to 1:00pm. ",Kae Thomas Service/Intake and Administration (562) 696-2662,www.cafarmersmarkets.com,,,71026,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90602,http://egis3.lacounty.gov/lms/?p=71026,publish,33.979112,-118.036156,,2014-05-13T13:26:44.000Z,,6550708.66585,1814780.843812
-118.465993355450593,33.98756571654588,47868818,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Venice Certified Farmers' Market,N Venice Blvd & Venice Way,,Venice,CA,"Fridays, year-round, 7:00am to 11:00am. ",James Murez Service/Intake and Administration (310) 399-6690,www.cafarmersmarkets.com,,,60949,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90291,http://egis3.lacounty.gov/lms/?p=60949,publish,33.987566,-118.465993,,2014-05-13T13:31:44.000Z,,6420406.686625,1818182.71857
-118.252920156690934,34.053258927169267,47868819,211,,Community Groups,Farmers Markets,,,Bank Of America Plaza Certified Farmers' Market,333 S Hope St,,Los Angeles,CA,"Fridays, year-round, 11:00am to 3:00pm. ",Fernando Oxa Service/Intake (818) 591-8161,www.cafarmersmarkets.com,,,71500,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90021,http://egis3.lacounty.gov/lms/?p=71500,publish,34.053259,-118.25292,,2014-05-13T14:00:27.000Z,,6485058.769263,1841858.737491
-118.638570055579166,34.157456966772763,47868820,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Old Town Calabasas Certified Farmers' Market,23504 Calabasas Rd.,at El Canon Ave,Calabasas,CA,"Saturdays, year-round, 8:00am to 1:00pm",Melissa Farwell Service/Intake and Administration (818) 591-8161,www.cafarmersmarkets.com,,,60965,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91302,http://egis3.lacounty.gov/lms/?p=60965,publish,34.157457,-118.63857,,2014-05-13T14:02:59.000Z,,6368484.263568,1880295.60878
-118.43046265553555,34.004249216979169,47868821,211,,Community Groups,Farmers Markets,,,Mar Vista Certified Farmers' Market,3826 Grand View Blvd,between Venice Blvd and Pacific Ave,Los Angeles,CA,"Sundays, year-round, 8:30am to 2:00pm. ",Diana Rodgers Service/Intake (310) 861-4444,www.cafarmersmarkets.com,,,71463,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90066,http://egis3.lacounty.gov/lms/?p=71463,publish,34.004249,-118.430463,,2014-05-13T15:04:20.000Z,,6431203.580714,1824206.102849
-118.525110555364705,34.048285926646464,47866621,211,,Community Groups,Farmers Markets,,,Pacific Palisades Certified Farmers' Market,1037 N Swarthmore Ave,,Pacific Palisades,CA,"Sunday, 8:00am to 1:00pm. ",Lesley McAndrew Service/Intake and Administration (818) 591-8161,www.cafarmersmarkets.com,,,71020,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90272,http://egis3.lacounty.gov/lms/?p=71020,publish,34.048286,-118.52511,,2010-11-01T11:50:56.000Z,,6402601.18057,1840368.074462
-117.750366557886622,34.064548807152192,47866622,211,,Community Groups,Farmers Markets,,,Pomona Valley Certified Farmers' Market,N Garey Ave & W Pearl St,,Pomona,CA,"Saturday, 7:30am to 11:30am. ",Harry Brown-Hiegel Service/Intake and Administration (626) 588-1112,www.cafarmersmarkets.com,,,71023,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,91766,http://egis3.lacounty.gov/lms/?p=71023,publish,34.064549,-117.750366,,2010-11-01T11:50:56.000Z,,6637276.147899,1845964.849685
-118.351067556255686,34.092575906371906,47866623,211,,Community Groups,Farmers Markets,,,West Hollywood Certified Farmers' Market,7377 Santa Monica Blvd,,West Hollywood,CA,"Monday, 9:00am to 2:00pm. ",Beth Smith Service/Intake and Administration (323) 848-6535,www.cafarmersmarkets.com,,,71025,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90046,http://egis3.lacounty.gov/lms/?p=71025,publish,34.092576,-118.351067,,2010-11-01T11:50:56.000Z,,6455379.198373,1856256.168998
-118.192005656022573,34.109977156501436,47866624,211,,Community Groups,Farmers Markets,,,Old Los Angeles Certified Farmers' Market,S Ave 58 & N Figueroa St,,Los Angeles,CA,"Tuesday, 3:00am to 7:00pm. ",C. Nyerges Service/Intake (323) 255-5030,www.cafarmersmarkets.com,,,71028,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90042,http://egis3.lacounty.gov/lms/?p=71028,publish,34.109977,-118.192006,,2010-11-01T11:50:56.000Z,,6503549.668633,1862458.705149
-118.37337245665141,34.083278316461438,47866625,211,,Community Groups,Farmers Markets,,,Melrose Place Certified Farmers' Market,8400 Melrose Pl,,Los Angeles,CA,"Sunday, 10:00am to 2:00pm. ",Chase Mosley Service/Intake (818) 591-8161,www.cafarmersmarkets.com,,,71030,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90069,http://egis3.lacounty.gov/lms/?p=71030,publish,34.083278,-118.373372,,2010-11-01T11:50:56.000Z,,6448613.505868,1852896.958853
-118.253076158910844,34.048339392118471,47870470,211,,Community Groups,Farmers Markets,,,Pershing Square Certified Farmers' Market,532 S Olive St,,Los Angeles,CA,"Wednesdays and Thursdays, year-round, 11:30am to 2:00pm. ",Linda Gallardo Service/Intake (818) 591-8161,www.cafarmersmarkets.com,,,71481,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90021,http://egis3.lacounty.gov/lms/?p=71481,publish,34.048339,-118.253076,,2014-10-15T10:07:28.000Z,,6485007.007556,1840068.547502
-118.226940092727503,34.205395309658897,47870710,211,,Community Groups,Farmers Markets,,Montrose Shopping Park Association,Montrose Harvest Market,2200 Block of Honolulu Ave ,,Glendale,CA,"Sundays,  9:00 AM until 2:00 PM","(805) 637-6635
",http://www.shopmontrose.com/harvest-market.html ,,,61797,"Farmer's Market in Montrose,  California (2200 block of Honolulu Avenue).",91020,http://egis3.lacounty.gov/lms/?p=61797,publish,34.205395,-118.22694,,2015-03-26T13:27:43.000Z,,6493053.325124,1897205.061509
-118.325773056207169,33.826916967630879,47870711,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Torrance Tuesday Certified Farmers' Market,2200 Crenshaw Blvd.,Charles H. Wilson Park,Torrance,CA,"Tuesdays year-round 8:00 a.m. to 1:00 p.m.
Saturday Year Round 8:00 a.m. to 1:00 p.m.",Joyce Chan 310-328-1746,www.cafarmersmarkets.com,,,60990,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90503,http://egis3.lacounty.gov/lms/?p=60990,publish,33.826917,-118.325773,,2015-03-26T13:36:09.000Z,,6462724.143329,1759551.798102
-118.317795456307437,33.916454697296452,47870712,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Gardena Hollypark Certified Farmers' Market,13000 S. Van Ness Ave,,Gardena,CA,"Saturday, 08:00 am to  01:00pm. ",Ida  Edwards Service/Intake (323) 777-1755,www.cafarmersmarkets.com,,,61000,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90249,http://egis3.lacounty.gov/lms/?p=61000,publish,33.916455,-118.317795,,2015-03-27T06:51:15.000Z,,6465250.170101,1792128.846465
-118.482858856096271,34.001223786983985,47870713,211,,Community Groups,Farmers Markets,,City Of Santa Monicawww.cafarmersmarkets.com,Santa Monica Main St. Certified Farmers' Market,2640 Main St,,Santa Monica,CA,Sunday 9:30 am to 1:00 pm,Jodi Low Service/Intake and Administration (310) 458-8712,www.cafarmersmarkets.com,,,60982,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90405,http://egis3.lacounty.gov/lms/?p=60982,publish,34.001224,-118.482859,,2015-03-27T07:10:52.000Z,,6415317.905792,1823177.245982
-118.498625755881989,34.016239647031682,47870714,211,,Community Groups,Farmers Markets,,www.cafarmersmarkets.com,Santa Monica Downtown Certified Farmers' Market,Arizona Ave between 2nd St and 3rd St,,Santa Monica,CA," Wednesdays, 8:30am to 1:30pm and Saturdays (Organic) 8:30am - 1:00pm ",Laura Avery Service/Intake and Administration (310) 458-8712,www.cafarmersmarkets.com,,,61001,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90401,http://egis3.lacounty.gov/lms/?p=61001,publish,34.01624,-118.498626,,2015-03-27T07:16:35.000Z,,6410566.172186,1828665.086385
-118.294769356676838,34.101717306447107,47870715,211,,Community Groups,Farmers Markets,,SEE LA,Bransdall Center Farmers' Market,4888 Hollywood Blvd,,Los Angeles,CA,"Monday, year round, 11:00 am - 5:00 pm", (323) 463-3171,http://www.farmernet.com/,,,60142,The organization provides farmers' markets and nutrition education services in specified areas of Los Angeles.,90027,http://egis3.lacounty.gov/lms/?p=60142,publish,34.101717,-118.294769,,2015-03-27T10:00:45.000Z,,6472434.053371,1859528.12374
-118.260220756264175,34.118195486352477,47870716,211,,Community Groups,Farmers Markets,,SEE LA,Atwater Village Certified Farmers' Market,3250 Glendale Blvd,,Los Angeles,CA,"Sunday, 10:00am to 2:00pm. ",Gena (323) 463-3171,www.cafarmersmarkets.com,,,71460,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90039,http://egis3.lacounty.gov/lms/?p=71460,publish,34.118196,-118.260221,,2015-03-27T13:50:52.000Z,,6482908.539968,1865495.946778
-118.603814055610769,34.089121966536943,47870717,211,,Community Groups,Farmers Markets,,,Topanga Canyon Certified Farmers' Market,Pine Tree Circle Parking Lot and Topanga Post Office,,Topanga,CA,"Friday, year round, 9:00am to 1:00pm. ",Howell Tumlin 310-455-0181,www.cafarmersmarkets.com,,,71515,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90290,http://egis3.lacounty.gov/lms/?p=71515,publish,34.089122,-118.603814,,2015-03-30T13:17:11.000Z,,6378849.453467,1855362.706218
-118.256559656121112,34.005725967109889,47870718,211,,Community Groups,Farmers Markets,,SEE LA,Central Avenue Certified Farmers' Market,4301 S Central Ave,,Los Angeles,CA,"Thursdays, year-round, 10:00pm to 4:00pm. ", (323) 463-3171,www.cafarmersmarkets.com,,,71487,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90011,http://egis3.lacounty.gov/lms/?p=71487,publish,34.005726,-118.25656,,2015-03-30T13:24:03.000Z,,6483912.186583,1824563.398394
-118.328673256583471,34.098066426421454,47870719,211,,Community Groups,Farmers Markets,,SEE LA,Hollywood Certified Farmers' Market,1500 N Ivar Ave,,Hollywood,CA,"Sundays, year-round, 8:00am to 1:00pm", (323) 463-3171,www.cafarmersmarkets.com,,,60976,This federation administers farmers markets for consumers and farmers in Los Angeles County and throughout the state of California.,90028,http://egis3.lacounty.gov/lms/?p=60976,publish,34.098066,-118.328673,,2015-04-02T09:54:37.000Z,,6462165.928238,1858231.336635
