name	Address_1	Address_2	City	State	Zip	Phone	latitude	longitude	Category	Website		daycode1	day1_open	day1_close	daycode2	day2_open	day2_close	daycode3	day3_open	day3_close	daycode4	day4_open	day4_close	daycode5	day5_open	day5_close	daycode6	day6_open	day6_open	daycode7	day7_open	day7_close	Year_Round (Y/N)	season_open	season_close
Los Angeles First Church of the Nazarene-Hope Net	3401 W. 3rd Street		Los Angeles	CA	90020	(213)385-6345	34.0693363	-118.2898538	Food Pantry			Fri	4:00 PM	6:00 PM																					
St. Athanasius & St. Paul Church	840 Echo Park Avenue		Los Angeles	CA	90026	(213)908-8827	34.0733551	-118.2591402	Food Pantry			Fri	8:00 AM	10:30 AM																					
Crusaders for Christ Baptist Church	3200 W. Temple Street		Los Angeles	CA	90026	(323)681-3569	34.0752651	-118.2816342	Food Pantry			Fri	3:30 PM	5:00 PM																					
Corys Kitchen-New Beginnings	"13020 Francisquito Avenue, Suite 10"		Baldwin Park	CA	91706	(626)305-0392	34.0791001	-117.9893116	Food Pantry			Fri	5:00 PM	7:00 PM																					
St. Luke Catholic Community	9451 Broadway		Temple City	CA	91780	(626)291-5900	34.1001065	-118.0635668	Food Pantry			Fri	1:00 PM	2:00 PM																					
Esmirna Pentecostal Church	5414 N. Figueroa Street		Los Angeles	CA	90042	(323)254-0191	34.1072082	-118.196609	Food Pantry			Fri	4:00 PM	6:00 PM																					
Village Covenant	5607 N. Barranca Avenue		Azusa	CA	91702	(626)335-4013	34.11485	-117.8821589	Food Pantry			Fri	9:00 AM	3:00 PM																					
Khalsa Care Foundation	9989 Laurel Canyon Blvd.		Pacoima	CA	91331	(805)402-5050	34.2511562	-118.4252181	Food Pantry			Fri	6:00 PM	7:00 PM																					
Hope Chapel Lancaster	6015 W Avenue J8		Quartz Hill	CA	93536	(661)943-1074	34.6826776	-118.2371694	Food Pantry			Fri	9:30 AM	11:00 AM																					
Paramount Care Foundation	8303 Alondra Boulevard		Paramount	CA	90723	(562)531-6820	33.889572	-118.154455	Food Pantry			Fri1st	9:00 AM	10:00 AM	Fri2nd	9:00 AM	10:00 AM	Fri3rd	9:00 AM	10:00 AM	Fri4th	9:00 AM	10:00 AM												
New Jerusalem C.O.G.I.C.	420 S. Sante Fe Avenue		Compton	CA	90221	(310)639-1013	33.892894	-118.215494	Food Pantry			Fri1st	10:00 AM	11:30 AM	Fri3rd	10:00 AM	11:30 AM																		
Christian Association for Social Services	5814 Venice Blvd.		Los Angeles	CA	90019	(323)936-9481	34.0414693	-118.3661612	Food Pantry			Fri1st	10:00 AM	1:00 PM	Fri3rd	10:00 AM	1:00 PM	Sat1st	10:00 AM	1:00 PM	Sat3rd	10:00 AM	1:00 PM												
Evergreen Baptist Church of San Gabriel Valley	323 Workman Mill Road		La Puente	CA	91746	(626)363-0300	34.0435729	-117.9991561	Food Pantry			Fri1st	12:00 PM	3:00 PM	Fri3rd	12:00 PM	3:00 PM																		
Food Net-East Rancho Dominguez	4513 E. Compton Boulevard		Compton	CA	90221	(310)603-7401	33.8964368	-118.1927524	Food Pantry			Fri2nd	8:00 AM	10:00 AM	Fri4th	8:00 AM	10:00 AM																		
People for Community Improvement	13008 South Figueroa		Los Angeles	CA	90061	(310)538-4013	33.913935	-118.282263	Food Pantry			Fri2nd	11:00 AM	1:30 PM	Fri4th	11:00 AM	3:00 PM																		
St. Gertrudes Conference	7025 Garfield Avenue		Bell Gardens	CA	90201	(562)927-4495	33.9678794	-118.1506637	Food Pantry			Fri2nd	11:00 AM	1:00 PM	Fri4th	11:00 AM	1:00 PM																		
Church of the Epiphany	2808 Altura Street		Los Angeles	CA	90031	(323)227-9931	34.0752843	-118.21285	Food Pantry			Fri2nd	10:30 AM	11:30 AM	Fri4th	10:30 AM	11:30 AM																		
All Saints Conference	3431 Portola Avenue		Los Angeles	CA	90032	(323)675-4873	34.0856924	-118.1729264	Food Pantry			Fri2nd	3:00 PM	5:00 PM	Fri4th	3:00 PM	5:00 PM																		
Grace Presbyterian Church	1500 N. Ave 53		Los Angeles	CA	90042	(818)957-8090	34.1213022	-118.1999599	Food Pantry			Fri2nd	9:30	10:30	Fri4th	9:30	10:30																		
St. Ferdinand Church	1109 Coronel Street		San Fernando	CA	91340	(818)365-3194	34.2818972	-118.4436663	Food Pantry			Fri2nd	9:00 AM	11:00 AM	Fri4th	9:00 AM	11:00 AM																		
Total Deliverance Church	45124 10th Street West		Lancaster	CA	93535	(661)951-9881	34.7030871	-118.1472077	Food Pantry			Fri2nd	11:00 AM	12:30 PM	Fri4th	11:00 AM	12:30 PM																		
Rosewood Church	10115 E. Rose Street		Bellflower	CA	90706	(562)925-1443	33.8705097	-118.1180147	Food Pantry			Fri3rd	3:00 PM	4:00 PM																					
Our Lady of Victory Conference	410 E. Palmer Street		Compton	CA	90221	(310)631-5100	33.8983065	-118.2185064	Food Pantry			Fri3rd	8:30 AM	10:00 AM	SatLast	8:30 AM	10:00 AM																		
Iglesia Un Renuevo	13216 Fairford Ave.		Norwalk	CA	90650	(562)743-4611	33.9109635	-118.0946044	Food Pantry			Fri3rd	3:00 PM	8:00 PM																					
Inglewood Church of Christ	323 S. Eucalyptus Ave.		Inglewood	CA	90301	(310)674-7690	33.9595172	-118.3598898	Food Pantry			Fri3rd	10:00 AM	12:00 PM																					
St. Brigid Catholic Church	5214 S. Western Avenue		Los Angeles	CA	90062	(323)292-0781	33.9945347	-118.3086059	Food Pantry			Fri3rd	9:30 AM	11:00 AM																					
East LA Community Corporation	611 S. Lorena Street		Los Angeles	CA	90033	(323)269-4214	34.030634	-118.199474	Food Pantry			Fri3rd	9:00 AM	11:00 AM																					
West Adams Church of Christ	4959 W. Adams Boulevard		Los Angeles	CA	90016	(323)731-6672	34.032789	-118.348501	Food Pantry			Fri3rd	10:00 AM	11:00 AM	Sat4th	12:00 PM	2:00 PM																		
Rosewood Revitalization Group	4101 Rosewood Avenue		Los Angeles	CA	90004	(323)662-1194	34.0793451	-118.2932645	Food Pantry			Fri3rd	3:30 PM	4:30 PM																					
Hollywood West Tenant Action Committee	5823 Willoughby Avenue		Los Angeles	CA	90038	(323)461-4957	34.0873928	-118.3231596	Food Pantry			Fri3rd	4:00 PM	6:00 PM																					
Santa Clarita Valley Food Pantry	24133 Railroad Avenue		Newhall	CA	91321	(661)255-9078	34.3765012	-118.5252054	Food Pantry			Fri3rd	9:00 AM	12:00 PM																					
Heavenly Vision Church of God in Christ	841 W. 85th Street		Los Angeles	CA	90044	(323)245-2651	33.9614457	-118.288536	Food Pantry			Fri4th	12:00 PM	2:00 PM																					
Christ the Good Shepherd Episcopal	3303 W. Vernon Avenue		Los Angeles	CA	90008	(323)295-4139	34.0040273	-118.3297116	Food Pantry			Fri4th	10:00 AM	1:00 PM																					
"Eliza Shanks Homes, Inc."	13055 Weidner Street		Pacoima	CA	91331	(818)896-9304	34.2772191	-118.4173919	Food Pantry			Fri4th	9:00 AM	5:00 PM																					
Los Angeles Housing Partnership	2614 W. 7th Street		Los Angeles	CA	90057	(213)629-9172	34.0586006	-118.2826812	Food Pantry			FriLast	4:00 PM	5:00 PM																					
St. Peter and Paul Poverty Program	943 Lagoon Avenue		Wilmington	CA	90744	(310)952-0144	33.7823374	-118.267995	Food Pantry			Mon	9:00 AM	11:00 AM	Tue	9:00 AM	11:00 AM	Thu	9:00 AM	11:00 AM															
Coast Christian Fellowship	4000 Pacific Coast Highway		Torrance	CA	90505	(310)373-8573	33.8065814	-118.3566268	Food Pantry	http://www.coastchristian.org/		Mon	4:00 PM	6:00 PM																					
Salvation Army Redondo Beach	125 W. Beryl Street		Redondo Beach	CA	90277	(310)318-2827	33.8469008	-118.3925479	Food Pantry			Mon	9:00 AM	11:00 AM	Tue	9:00 AM	11:00 AM	Wed	9:00 AM	11:00 AM	Thu	9:00 AM	11:00 AM	Fri	9:00 AM	11:00 AM									
City of Norwark/Department of Social Services	11929 Alondra Boulevard		Norwalk	CA	90650	(562)929-5544	33.8879224	-118.0789232	Food Pantry			Mon	8:00 AM	5:30 PM	Tue	8:00 AM	5:30 PM	Wed	8:00 AM	5:30 PM	Thu	8:00 AM	5:30 PM	Fri	8:00 AM	5:30 PM									
Centro Cristiano Manantial de vida	10035 Washington Street		Bellflower	CA	90706	(562)481-1642	33.898644	-118.1204073	Food Pantry			Mon	6:30 PM	8:30 PM																					
Food Net-Asian Service Center	14112 S. Kingsley Drive		Gardena	CA	90249	(310)217-7300	33.90287	-118.30389	Food Pantry			Mon	8:00 AM	4:00 PM	Tue	8:00 AM	4:00 PM	Wed	8:00 AM	4:00 PM	Thu	8:00 AM	4:00 PM	Fri	8:00 AM	4:00 PM									
Catholic Rainbow Outreach	11419 Carmenita Road		Whittier	CA	90605	(562)556-4449	33.9277609	-118.046881	Food Pantry			Mon	3:00 PM	4:00 PM	Tue	3:00 PM	4:00 PM	Wed	3:00 PM	4:00 PM	Fri	3:00 PM	4:00 PM	Sat	3:00 PM	4:00 PM									
St. Margaret's Center	10217 Inglewood Avenue		Lennox	CA	90304	(310)672-2208	33.9429599	-118.3618262	Food Pantry			Mon	9:00 AM	4:00 PM	Wed	9:00 AM	4:00 PM	Fri	9:00 AM	4:00 PM															
Love & Faith Christian Center	8505 S. Western Avenue		Los Angeles	CA	90047	(323)753-8300	33.9606268	-118.3093646	Food Pantry			Mon	8:30 AM	10:00 AM	Fri	8:30 AM	10:00 AM																		
Interfaith Food Center	11819 Burke Street		Sante Fe Springs	CA	90670	(562)903-1478	33.962938	-118.0650479	Food Pantry			Mon	8:30 AM	12:00 PM	Tue	4:30 PM	7:00 PM	Tue	8:30 AM	12:00 PM	Thu	8:30 AM	12:00 PM	Fri	8:30 AM	12:00 PM									
Salvation Army- Whittier Corp.	7926 Pickering Avenue		Whittier	CA	90602	(562)698-8348	33.9691227	-118.0417514	Food Pantry			Mon	1:00 PM	2:45 PM	Tue	1:00 PM	2:45	Wed	1:00 PM	2:45 PM	Thu	1:00 PM	2:45 PM	Fri	1:00 PM	2:45 PM									
St. Mary's Place	7215 Newlin Avenue		Whittier	CA	90602	(562)698-0107	33.9768912	-118.0412114	Food Pantry			Mon	9:00 AM	12:00 PM	Tue	9:00 AM	12:00 PM	Wed	9:00 AM	12:00 PM	Sat3rd	12:00 PM	2:00 PM												
Southeast Churches Service Center	2780 E. Gage Avenue		Huntington Park	CA	90255	(323)585-8254	33.9814503	-118.2202826	Food Pantry			Mon	9:00 AM	4:00 PM	Tue	9:00 AM	4:00 PM	Wed	9:00 AM	4:00 PM	Thu	9:00 AM	4:00 PM	Fri	9:00 AM	4:00 PM									
The Bible Tabernacle (Venice)	1761 Washington Way		Venice	CA	90291	(310)821-6116	33.9879884	-118.4626862	Food Pantry			Mon	9:00 AM	12:00 PM	Tue	9:00 AM	12:00 PM	Fri	9:00 AM	12:00 PM															
WSFB- St. Joseph's Center	204 Hampton Drive		Venice	CA	90291	(310)396-6468	33.9979527	-118.4779718	Food Pantry			Mon	10:00 AM	12:00 PM	Tue	1:00 PM	3:00 PM	Wed	10:00 AM	12:00 PM	Thu	10:00 AM	12:00 PM	Fri	1:00 PM	3:00 PM									
"Catholic Charities of Los Angeles, Inc."	5014 Passons Blvd		Pico Rivera	CA	90660	(562)949-0937	33.9980359	-118.0777582	Food Pantry	http://catholiccharitiesla.org/where-we-are/program-directory-by-city/		Mon	9:00 AM	12:00 PM	Tue	9:00 AM	12:00 PM	Wed	9:00 AM	12:00 PM	Thu	9:00 AM	12:00 PM												
Holy Cross Center	104 W. 47th Place		Los Angeles	CA	90037	(323)232-3333	33.9997088	-118.2742456	Food Pantry			Mon	9:00 AM	11:00 AM	Wed	9:00 AM	11:00 AM	Fri	9:00 AM	11:00 AM															
East San Gabriel Valley Coalition For the Homeless	1345 Turnbull Canyon Blvd.		Hacienda Heights	CA	91745	(626)333-.726	34.0112629	-117.980451	Food Pantry			Mon	8:30 AM	1:30 PM	Tue	8:30 AM	1:30 PM	Wed	8:30 AM	1:30 PM	Thu	8:30 AM	1:30 PM	Fri	8:30 AM	1:30 PM									
Eastmont S.D.A. Spanish Church	1021 Westside Drive		Los Angeles	CA	90022	(323)396-7729	34.0136274	-118.1376064	Food Pantry			Mon	7:30 PM	8:00 PM																					
Eastmont Community Center	701 Hoefner Avenue		Los Angeles	CA	90022	(323)726-7998	34.0209713	-118.1500876	Food Pantry			Mon	9:00 AM	11:00 AM	Tue	9:00 AM	11:00 AM	Wed	9:00 AM	11:00 AM															
WSFB- St. Augustine SAVES	3820 Jasmine Avenue		Culver City	CA	90232	(310)838-2702	34.0212852	-118.4007884	Food Pantry			Mon	9:00 AM	11:45 AM	Wed	9:00 AM	11:45 AM	Fri	9:00 AM	11:45 AM															
West Angeles Community Corporation	3045 South Crenshaw Boulevard		Los Angeles	CA	90016	(323)751-3440	34.026398	-118.335492	Food Pantry			Mon	9:00 AM	1:00 PM	Tues	9:00 AM	1:00 PM	Wed	9:00 AM	1:00 PM															
St. Agnes Parish	2625 S. Vermont Avenue		Los Angeles	CA	90007	(323)731-2464	34.0320812	-118.2918201	Food Pantry			Mon	9:00 AM	10:30 AM	Tue	9:00 AM	10:30 AM	Thu	9:00 AM	10:30 AM	Fri	9:00 AM	10:30 AM												
Salvation Army- East L.A.	140 N. Eastman Avenue		Los Angeles	CA	90063	(323)263-7577	34.036961	-118.1854747	Food Pantry			Mon	9:00 AM	4:00 PM	Tue	9:00 AM	4:00 PM	Wed	9:00 AM	4:00 PM	Thu	9:00 AM	4:00 PM	Fri	9:00 AM	4:00 PM									
Food Net- East Los Angeles Center	133 N. Sunol Drive		Los Angeles	CA	90063	(323)260-2801	34.0370429	-118.1792254	Food Pantry	http://wdacs.lacounty.gov/service-locations/east-los-angeles-service-center/		Mon	9:30 AM	12:00 PM	Mon	1:30 PM	4:00 PM	Thu	9:30 AM	12:00 PM	Fri	1:30 PM	4:00 PM												
Food Net-Centro Maravilla	4716 E. Cesar Chavez Avenue		Los Angeles	CA	90022	(323)260-2804	34.0402137	-118.1643033	Food Pantry			Mon	8:00 AM	4:00 PM	Tue	8:00 AM	4:00 PM	Fri	8:00 AM	4:00 PM															
Fred Jordan Mission	445  Towne Avenue		Los Angeles	CA	90013	(213)489-7763	34.0433355	-118.2419919	Food Pantry			Mon	12:00 PM	1:00 PM	Tue	12:00 PM	1:00 PM	Wed	12:00 PM	1:00 PM	Thu	12:00 PM	1:00 PM	Fri	12:00 PM	1:00 PM									
Salvation Army- L.A. Central Corp	906 S. Francisco Street		Los Angeles	CA	90015	(213)896-9178	34.0466096	-118.2646275	Food Pantry			Mon	9:00 AM	4:00 PM	Tue	9:00 AM	4:00 PM	Wed	12:00 PM	4:00 PM	Thu	12:00 PM	4:00 PM												
Catholic Charities- Brownson House	1307 Warren Street		Los Angeles	CA	90033	((21)) 2-3514	34.0521281	-118.2201373	Food Pantry	http://catholiccharitiesla.org/where-we-are/program-directory-by-city/		Mon	9:00 AM	1:00 PM	Tue	9:00 AM	1:00 PM	Wed	9:00 AM	1:00 PM	Thu	9:00 AM	1:00 PM	Fri	9:00 AM	1:00 PM									
St. Joseph Conference	1150 W. Holt Avenue		Pomona	CA	91768	(909)469-9773	34.0613107	-117.7687845	Food Pantry			Mon	9:00 AM	11:00 AM	Wed	9:00 AM	11:00 AM	Fri	9:00 AM	11:00 AM															
Inland Valley Hope Partners	209 W. Pearl Street		Pomona	CA	91768	(909)622-7278	34.0649162	-117.7523806	Food Pantry			Mon	2:00 PM	4:00 PM	Wed	2:00 PM	4:00 PM	Fri	2:00 PM	4:00 PM															
Wilshire Presbyterian Church-Hope Net	309 S. Oxford Avenue		Los Angeles	CA	90020	(213)387-5387	34.0685889	-118.308458	Food Pantry			Mon	11:00 AM	12:00 PM																					
Church of the Redeemer	3739 North Monterey Avenue		Baldwin Park	CA	91706	(626)960-9585	34.0802977	-117.9766557	Food Pantry			Mon	9:00 AM	1:00 PM	Tue	9:00 PM	1:00 PM	Wed	9:00 AM	1:00 PM	Thu	9:00 PM	1:00 PM	Fri	9:00 AM	1:00 PM	Sat	9:00 PM	1:00 PM						
Salvation Army-Pomona	490 E. La Verne Anenue		Pomona	CA	91767-2800	(909)623-1579	34.0806833	-117.7434276	Food Pantry			Mon	8:00 AM	4:00 PM	Tue	8:00 AM	12:00 PM	Wed	8:00 AM	4:00 PM	Thu	8:00 AM	12:00 PM	Fri	8:00 AM	4:00 PM									
Catholic Charities- Region 2	4171 Tyler Avenue		El Monte	CA	91731	(626)575-7652	34.0827886	-118.031897	Food Pantry			Mon	9:00 AM	1:00 PM	Tue	9:00 AM	1:00 PM	Wed	9:00 AM	1:00 PM	Thu	9:00 AM	1:00 PM	Fri	9:00 AM	1:00 PM									
Cory's Kitchen-El Sereno	4810 Huntington Drive South		Los Angeles	CA	90032	(323)972-1330	34.0851253	-118.1796924	Food Pantry			Mon	4:30 PM	6:30 PM																					
El Monte/South Emergency	10900 Mulhall Street		South El Monte	CA	91731	(626)444-7269	34.0888812	-118.0288381	Food Pantry			Mon	8:00 AM	5:00 PM	Tue	8:00 AM	5:00 PM	Wed	8:00 AM	5:00 PM	Thu	8:00 AM	5:00 PM	Fri	8:00 AM	5:00 PM									
Catholic Charities of L.A.	4665 Willow Brook Avenue		Los Angeles	CA	90029	(213)251-3597	34.0896046	-118.2934993	Food Pantry	http://catholiccharitiesla.org/where-we-are/program-directory-by-city/		Mon	10:00 AM	3:00 PM	Tue	10:00 AM	3:00 PM	Wed	10:00 AM	3:00 PM	Thu	10:00 AM	3:00 PM	Fri	10:00 AM	3:00 PM									
Immaculate Heart of Mary-Hope Net	4954 Santa Monica Boulevard		Los Angeles	CA	90029	(323)660-0034	34.0905787	-118.2976765	Food Pantry			Mon	11:00 AM	12:00 PM																					
Holy Family Giving Bank	1524 Fremont Avenue		South Pasadena	CA	91030	(626)403-6140	34.1080192	-118.1527363	Food Pantry			Mon	9:00 AM	10:45 AM																					
International Families Association	"1741 Gardena Avenue, Suite E"		Glendale	CA	91204	(818)770-0779	34.1227497	-118.2575547	Food Pantry			Mon	3:00 PM	6:00 PM																					
Loaves & Fishes-Glendale	4322 San Fernando Road		Glendale	CA	91204	(818)409-3080	34.1316156	-118.261043	Food Pantry			Mon	10:00 AM	3:30 PM	Tue	10:00 AM	3:30 PM	Wed	10:00 AM	3:30 PM	Fri	10:00 AM	3:30 PM												
Foothill Unity Center	415 W. Chestnut Avenue		Monrovia	CA	91016	(626)359-1777	34.1427592	-118.0081715	Food Pantry			Mon	1:00 PM	3:30 PM	Wed	9:00 AM	11:30 AM	Fri	9:00 AM	11:30 AM															
Salvation Army-Pasadena Tabernacle	1000 E.Walnut Street		Pasadena	CA	91106	(626)773-4400	34.1493046	-118.1297902	Food Pantry			Mon	9:00 AM	11:30 AM	Tue	9:00 AM	11:30 AM	Wed	9:00 AM	11:30 AM	Thu	9:00 AM	11:30 AM	Fri	9:00 AM	11:30 AM									
North Hollywood Interfaith Food Pantry	4390 Colfax Avenue		North Hollywood	CA	91604	(818)760-3575	34.1501988	-118.3872632	Food Pantry	http://www.nhifp.org/		Mon	9:00 AM	1:00 PM	Fri	9:00 AM	1:00 PM																		
Prince of Peace Coalition	5700 Rudnick Avenue		Woodland Hills	CA	91367	(818)346-5554	34.1732527	-118.6120677	Food Pantry			Mon	10:00 AM	3:00 PM	Tue	10:00 AM	3:00 PM	Wed	10:00 AM	3:00 PM	Thu	10:00 AM	3:00 PM	Fri	10:00 AM	12:00 PM									
Burbank Temporary Aid Center	1304 W. Burbank Blvd.		Burbank	CA	91506	(818)848-2822	34.1825214	-118.3260622	Food Pantry	http://www.burbanktemporaryaidcenter.org		Mon	9:00 AM	5:00 PM	Tue	9:00 AM	5:00 PM	Wed	9:00 AM	5:00 PM	Thu	9:00 AM	5:00 PM	Fri	9:00 AM	5:00 PM									
Prince of Peace/Family Rescue	22103 Van Owen Street		Canoga Park	CA	91303	(818)887-9386	34.1940869	-118.6085261	Food Pantry			Mon	9:00 AM	1:00 PM	Tue	9:00 AM	1:00 PM	Wed	9:00 AM	1:00 PM	Thu	9:00 AM	1:00 PM	Fri	9:00 AM	1:00 PM									
Loaves & Fishes-Canoga Park	21600 Hart Street		Canoga Park	CA	91303	(818)340-2050	34.1973704	-118.6002723	Food Pantry			Mon	9:00 AM	12:00 PM	Wed	9:00 AM	12:00 PM	Fri	9:00 AM	12:00 PM															
Loaves & Fishes-Van Nuys	14640 Keswick		Van Nuys	CA	91405	(818)997-0943	34.2100101	-118.4523896	Food Pantry			Mon	10:00 AM	1:30 AM	Wed	10:00 AM	1:30 PM	Fri	10:00 AM	1:30 PM															
Iglesia Evangelica Camino de Santidad	958 N. Maclay Ave		San Fernando	CA	91340	(818)898-3848	34.2931026	-118.4273834	Food Pantry			Mon	7:00 PM	9:00 PM																					
Food Net-Santa Clarita Service Center	24271 Main Street		Newhall	CA	91321	(661)254-0070	34.3783287	-118.5278635	Food Pantry			Mon	9:00 AM	4:00 PM	Tue	9:00 AM	4:00 PM	Wed	9:00 AM	4:00 PM	Thu	9:00 AM	4:00 PM	Fri	9:00 AM	4:00 PM									
Salvation Army Santa Clarita Valley Corps	22935 Lyons Avenue		Newhall	CA	91321	(661)799-7486	34.3805004	-118.5341693	Food Pantry			Mon	9:00 AM	3:00 PM	Wed	9:00 AM	3:00 PM	Thu	9:00 AM	3:00 PM	Fri	9:00 AM	3:00 PM												
Palmdale Community Foundation-S.A.V.E.S.	1002 East Avenue Q12		Palmdale	CA	93550	(661)267-5191	34.5755254	-118.1114457	Food Pantry			Mon	8:00 AM	5:00 PM	Tue	8:00 AM	5:00 PM	Wed	8:00 AM	5:00 PM	Thu	8:00 AM	5:00 PM												
S.A. Pearblossom United Methodist	34143 126th Street East		Pearblossom	CA	93553	(661)839-6123	34.505958	-117.905785	Food Pantry			Mon3rd	9:00 AM	11:00 AM																					
S.A. Penney Lynn Wind	8300 Pearblossom Hwy		Littlerock	CA	93543	(661)944-6100	34.5208321	-117.9811848	Food Pantry			Mon3rd	12:00 PM	2:00 PM																					
Salvation Army- Lancaster Corp	44517 Sierra Highway		Lancaster	CA	93534	(661)948-3418	34.6914947	-118.1362728	Food Pantry			Mon4th	12:00 PM	4:00 PM	Wed	9:00 AM	10:30 AM																		
S.A. Friendly Village Mobile Park	1301 east Ave. I		Lancaster	CA	93535	(661)946-6267	34.7088457	-118.1055901	Food Pantry			Mon4th	9:00 AM	11:00 AM																					
Jesus Christ the Reedemer Center	755 E. 223rd Street		Carson	CA	90745	(424)264-9875	33.8244169	-118.2620021	Food Pantry			Sat	11:00 AM	11:30 AM																					
Rehoboth Courage Church	425 E. Compton Boulevard		Compton	CA	90220	(310)663-0789	33.8962309	-118.2185024	Food Pantry			Sat	11:00 AM	12:00 PM																					
Imperial Church of Christ	11316 S. San Pedro Street		Los Angeles	CA	90061	(323)756-0360	33.9315622	-118.2691607	Food Pantry			Sat	7:00 AM	8:30 AM																					
Holy Trinity Church of God in Christ	9706 S. Broadway Boulevard		Los Angeles	CA	90003	(323)777-2965	33.9481075	-118.2778577	Food Pantry			Sat	12:00 PM	2:00 PM																					
Life Deliverance Ministries	9120 S. Western Avenue		Los Angeles	CA	90044	(562)607-8780	33.9538569	-118.3087286	Food Pantry			Sat	8:00 AM	11:00 AM																					
New Region For Christ	520 S. La Brea Ave		Inglewood	CA	90301	(424)227-8657	33.9569988	-118.3527848	Food Pantry			Sat	11:30 AM	1:00 PM																					
CCC Ebenezery Parish	8803-8807 S. Broadway Street		Los Angeles	CA	90003	(323)752-4400	33.9571095	-118.2785568	Food Pantry			Sat	11:00 AM	1:30 PM																					
Greater New Morning Star Baptist Church	210 W. Florence Avenue		Los Angeles	CA	90003	(323)529-4446	33.9745963	-118.2767182	Food Pantry			Sat	8:00 AM	11:00 AM																					
St. John Vianney Church	1345 Turnbull Canyon Road		Hacienda Heights	CA	91745	(626)330-2269	34.0112629	-117.980451	Food Pantry			Sat	8:30 AM	12:30 PM																					
Pico Rivera Iglesia Crece	14832 Valley Blvd.		La Puente	CA	91744	(562)895-4587	34.0317917	-117.970394	Food Pantry			Sat	8:30 AM	10:30 AM																					
Redeemer Missionary Baptist Church	1631 W. Adams Boulevard		Los Angeles	CA	90007	(323)732-4124	34.0331289	-118.2983987	Food Pantry			Sat	10:00 AM	1:00 PM																					
First Unitarian Church-Hope Net	2936 W. 8th Street		Los Angeles	CA	90005	(213)389-1356	34.0574918	-118.2904201	Food Pantry	http://uula.org/		Sat	8:00 AM	10:00 AM																					
Immanuel Presbyterian Church-Hope Net	3300 Wilshire Blvd		Los Angeles	CA	90010	(213)389-3191	34.0614542	-118.294485	Food Pantry			Sat	9:30 AM	11:30 AM																					
St. Stephen's Community Outreach Program	122 Ramona Avenue		Monterey Park	CA	91754	(626)573-9984	34.0616348	-118.1251851	Food Pantry			Sat	9:30 AM	11:30 AM																					
Islamic Center of Southern CA-Hope Net	434 S. Vermont Boulevard		Los Angeles	CA	90020	(213)382-9200	34.0664143	-118.291309	Food Pantry			Sat	11:00 AM	12:00 PM																					
Filipino Christian Church	301 N. Union Avenue		Los Angeles	CA	90026	(213)483-5821	34.0676498	-118.2644293	Food Pantry			Sat	10:00 AM	10:50 AM																					
