name,address_1,address_2,city,state,zip,phone,latitude,longitude,category,website,active,daycode1,day1_open,day1_close,daycode2,day2_open,day2_close,daycode3,day3_open,day3_close,daycode4,day4_open,day4_close,daycode5,day5_open,day5_close,daycode6,day6_open,day6_open,daycode7,day7_open,day7_close,year_round (y/n),season_open,season_close,notes
Harbor Village,981 Harbor Village Dr,,Harbor City,CA,90710,"Cynthia Lozano, Jessica Sandoval / Office: 310.530.1216",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1330,1430,TUE,1330,1430,WED,1330,1430,THU,1330,1430,FRI,1330,1430,,,,,,,n,6/19/2017,8/18/2017,"Closed: 6/15, 7/4"
Hyde Park Library,2205 W Florence Ave,,Los Angeles,CA,90043,"Shawn Stamm, Anna-Marie / Staff: 323.752.2712",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
KYCC- Menlo,1230 S Menlo Ave,,Los Angeles,CA,90006,"Ernie Yoshikawa, Danielle Joo / 213.365.7400 Ernie ext: 5132",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1330,1430,TUE,1330,1430,WED,1330,1430,THU,1330,1430,FRI,1330,1430,,,,,,,n,6/26/2017,8/3/2017,Closed: 7/4/2017
KYCC- Wilton,680 S Wilton Place,,Los Angeles,CA,90005,"Heather Jun, Ernie Yoshikawa / 213.365.7400 Ernie ext: 5132",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1400,1500,TUE,1400,1500,WED,1400,1500,THU,1400,1500,FRI,1400,1500,,,,,,,n,6/26/2017,8/4/2017,"Closed: 7/4, 7/14"
KYCC-Rise Kohyang Middle School,3020 Wilshire Blvd Ste 250,,Los Angeles,CA,90010,Heather Jun / 424.789.8338,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/19/2017,8/4/2017,"Closed: 7/4/2017 Field Trip: 6/30, 7/14, 7/28"
KYDS- Los Angeles Christian School,1620 W 20th St,,Los Angeles,CA,90007,"Julie Brown, Jasmin Peralta / 818.908.2029 x33",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/19/2017,8/11/2017,"Closed: 7/3, 7/4"
KYDS- St Catherine of Siena School,18125 Sherman Way,,Reseda,CA,91335,"Principal Tedesco, Julie Brown, Rikki Alvarado, Estrella / 818.343.9880 / Julie: 818.908.2029",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/19/2017,8/11/2017,"Closed: 7/3, 7/4"
La Villa Mariposa,345 S. Columbia Dr.,,Los Angeles,CA,90017,"Arturo De La Torre, Elisa Campos, Irma Lopez / Irma: 213.413.7307 (o) 213.258.0323 (c) 213-484-5247 (Site) Arturo: 213.258.5019",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/20/2017,8/4/2017,Closed: 7/4/2017
Lincoln Heights Library,2530 Workman St,,Los Angeles,CA,90031,Shirley Ly / 323.226.1692,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Lutheran Church of the Master,725 East Avenue J,,Lancaster,CA,93535,Pat Williams/661.942.6782,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,7/10/2017,7/28/2017,
Major League Baseball Urban Youth Academy,901 E Artesia Blvd,,Compton,CA,90221,"Yano Alvin, Darrell Miller / 310.763.3479",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,SAT,1200,1300,,,,,,,n,7/5/2017,8/5/2017,
Mar Vista Gardens,4901 Marionwood Dr.,,Culver City,CA,90230,Jesus Gonzales (Jay) / 714.417.3739,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,7/12/2017,8/10/2017,Closed 7/4/2017
Mark Twain Library,9621 S Figueroa,,Los Angeles,CA,90003,Senele Rios / 323.755.7567,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Montague Charter Academy,13000 Montague Street,,Arleta,CA,91331,"Edith Ballesteros / 818.899.0215, 213.745.1900",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1130,1230,TUE,1130,1230,WED,1130,1230,THU,1130,1230,FRI,1130,1230,,,,,,,n,6/19/2017,7/28/2017,"Closed: 7/3, 7/4"
Mountain View Estates,3255 E Ave R,,Palmdale,CA,93550,"Jessica Vargas, Jonnine Soto / 661.947.4700",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1100,1200,TUE,1100,1200,WED,1100,1200,THU,1100,1200,FRI,1100,1200,,,,,,,n,6/19/2017,8/18/2017,
North Valley Caring Services,15453 Rayen Street,,North Hills,CA,91343,Manuel Flores / 818.891.0481 ext 20,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1500,1600,TUE,1500,1600,WED,1500,1600,THU,1500,1600,,,,,,,,,,n,6/19/2017,8/8/2017,
Northridge Library,9051 Darby Avenue,,Northridge,CA,91325,"Leslie Chudnoff, Cindy Holsey / 818.886.6929 Workroom: 818.886.6090 Main: 818.886.3640",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Our Saviour Center,4316 Peck Rd,,El Monte,CA,91732,"Jose Vega, Marguerite Ponce (reports) / 626.329.0860 x 1203 or x 01",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1300,1400,TUE,1300,1400,WED,1300,1400,THU,1300,1400,,,,,,,,,,n,6/26/2017,8/16/2017,
Pacoima Library,13605 Van Nuys Blvd,,Pacoima,CA,91331,Laura Contin / 818.899.3188,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Panorama City Library,13605 Van Nuys Blvd,,Panorama City,CA,91402,Teri Markson / 818.895.0682,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Para Los Ninos (7th),1617 7th Street,,Los Angeles,CA,90021,"Cecilia Hernandez (dir), Fernando Delgadillo, Moises (services and report) / 213.239.6605 x 228 or 114 (F)",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1330,TUE,1200,1330,WED,1200,1330,THU,1200,1330,FRI,1200,1330,,,,,,,n,6/12/2017,6/30/2017,"Cecilia Hernandez (dir), Fernando Delgadillo, Moises (services and report) / 213.239.6605 x 228 or 114 (F)"
Para Los Ninos (Gratts Primary Center),474 S. Hartford Ave,,Los Angeles,CA,90017,Karla Lara / 213.481.3200,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1330,TUE,1200,1330,WED,1200,1330,THU,1200,1330,FRI,1200,1330,,,,,,,n,6/12/2017,6/30/2017,
Para Los Ninos (Middle School),835 Stanford Ave,,Los Angeles,CA,90021,Moises Carrillo / 213.896.2640,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1330,TUE,1200,1330,WED,1200,1330,THU,1200,1330,FRI,1200,1330,,,,,,,n,6/12/2017,6/30/2017,
Pico Union Library,14345 Roscoe Blvd,,Los Angeles,CA,90006,Kathy Ellison / 213.368.7550 213.368.7545,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Project Access Resource Center,2010 S. Batson Ave. #102,,Rowland Heights,CA,91748,"Melissa Flores (Coord), Brenda Morales (Mgr) / 626.839.2184",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1330,1430,TUE,1330,1430,WED,1330,1430,THU,1330,1430,FRI,1330,1430,,,,,,,n,6/12/2017,8/4/2017,"Closed: 6/14, 7/4"
PUENTE Learning Center,4504 S Central Ave,,Los Angeles,CA,90033,Rodolfo Acosta / 323.780.7546 x 218 323.780.8900,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1130,1230,TUE,1130,1230,WED,1130,1230,THU,1130,1230,FRI,1130,1230,,,,,,,n,6/26/2017,7/28/2017,Closed 7/4/17
Regis House,2212 Beverly Ave,,Los Angeles,CA,90057,Sister Teresita Saavedra Maria De Leon / 213.380.8168,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1130,1230,TUE,1130,1230,WED,1130,1230,THU,1130,1230,FRI,1130,1230,,,,,,,n,6/19/2017,7/21/2017,"Closed: 7/3/2017 Field Trip: 6/21, 6/28, 7/5, 7/12, 7/19"
Richstone Family Center,13634 Cordary Ave,,Hawthorne,CA,90250,Lesley Carrillo / 310.970.1921 x138,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1530,1630,WED,1530,1630,FRI,1530,1630,,,,,,,,,,,,,n,7/10/2017,8/17/2017,
Rio San Gabriel (Downey Family YMCA),9338 Gotham St,,Downey,CA,90241,"Reyna Villalobos, Maricela Ramos / 562.644.3999",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/5/2017,7/4/2017,Closed: 7/4/2017
Salvation Army South LA,7651 S. Central Ave,,Los Angeles,CA,90001,"Andre Patterson, Lizette Jones (dir), Dora Lopez (reports) / 323.586.0288 x104, x 103 (Lizette) Lizette: 323.586.0797",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1330,TUE,1200,1330,WED,1200,1330,THU,1200,1330,FRI,1200,1330,,,,,,,n,6/12/2017,8/3/2017,Closed: 6/26-7/4
Salvation Army Weingart Youth Center,501 S Boyle Ave,,Los Angeles,CA,90028,Carlos Gonzalez / 323.337.1655,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1500,1600,TUE,1500,1600,WED,1500,1600,THU,1500,1600,FRI,1500,1600,,,,,,,n,6/12/2017,8/17/2017,Closed: 7/8/2017 Field Trip: 7/8/2017
Salvation Army-Glendale,320 W. Windsor Rd,,Glendale,CA,91204,Rick White / 818.246.5586,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/5/2017,7/28/2017,
San Pedro Library,1030 S Alvarado Street,,Los Angeles,CA,90731,David Ellis / 310.548.7780,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Santa Monica- JAMS,2441 16th Street,,Santa Monica,CA,90405,"Erika Mitchell (dir), Shearlena Duty (reports), Jason Hurd / Office: 310.496.8800 Nadia: 323.365.5150 Jason: 323.683.2481",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/11/2017,Closed: 7/4/2017
School on Wheels,600 E 7th St Ste 109,,Los Angeles,CA,90021,"Matt Raab (Dir), Jason Wright (service) / Office: 213.896.9200",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1445,1545,TUE,1445,1545,WED,1445,1545,THU,1445,1545,FRI,1445,1545,,,,,,,n,6/12/2017,8/10/2017,"Closed: 7/4/2017 Field trip: 6/16, 6/23, 6/30, 7/7, 7/14, 7/21, 7/28, 8/4"
SF Valley BGC,11251 Glenoaks Blvd,,Pacoima,CA,91331,Ian Smith / 818.896.5261 x110,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/19/2017,8/11/2017,Closed 7/4/2017
St. Albert the Great School,736 E. Compton Blvd,,Compton,CA,90220,28 Tina Johnson / 310.515.3891,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1100,1200,TUE,1100,1200,WED,1100,1200,THU,1100,1200,FRI,1100,1200,,,,,,,n,6/27/2017,7/28/2017,"Field Trips: 7/7,7/14,7/21,7/28"
St. Thomas the Apostle School,St. Thomas the Apostle School,,Los Angeles,CA,90006,"Gustavo Beltran, Josefina Colin office:323.737.4730",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1215,1315,TUE,1215,1315,WED,1215,1315,THU,1215,1315,FRI,1215,1315,,,,,,,n,6/19/2017,7/21/2017,Closed: 6/29-7/4
St. Turibius School,1524 Essex Street,,Los Angeles,CA,93550,"Ann Olmos, Juana Gomez / 213.749.8894",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/27/2017,7/27/2017,"Closed: 7/4, 7/5"
The Salvation Army Compton Corps Community,5941 Hollywood Blvd,,Los Angeles,CA,90221,Steven Wimberly Jr./310.639.0362,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/12/2017,8/4/2017,"Closed: 7/3, 7/4"
Twin Palms Family Apartments,1105 East Avenue Q4,,Palmdale,CA,93550,Adrian Braxton / 661.538.9995,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1300,TUE,1200,1300,WED,1200,1300,THU,1200,1300,FRI,1200,1300,,,,,,,n,6/5/2017,8/4/2017,Closed: 7/4/2017
Vermont Square Library,931 S Gaffey,,San Pedro,CA,90037,Martha Sherod / Staff:323.290.7406 / Main: 323.290.7405,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
Vernon Library,1201 W 48th Street,,Los Angeles,CA,90011,"Ana Campos, Corinda Humphrey / 323.234.9107",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/12/2017,8/4/2017,Closed 7/4/2017
West Valley BGC,7245 Remmet Ave,,Canoga Park,CA,91303,"Ruben Rodriguez(dir), Tim Blaylock (CEO) / office: 818.610.1054",,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1330,TUE,1200,1330,WED,1200,1330,THU,1200,1330,FRI,1200,1330,,,,,,,n,6/12/2017,8/4/2017,Closed: 7/4/2017
Whittier BGC,7905 S. Greenleaf Ave,,Whittier,CA,90602,(CEO) / office: 818.610.1054,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1200,1330,TUE,1200,1330,WED,1200,1330,THU,1200,1330,FRI,1200,1330,,,,,,,y? call to confirm,,,Closed: 7/4/2017
YWCA-GLA Union Pacific Empowerment Center,4315 Union Pacific Ave,,Los Angeles,CA,90023,Rhianna Morales / 323.415.6057,,,Free School Lunch,https://www.lafoodbank.org/sfsp/,y,MON,1230,1330,TUE,1230,1330,WED,1230,1330,THU,1230,1330,FRI,1230,1330,,,,,,,n,6/26/2017,8/2/2017,"Closed: 7/4, 7/7"
