name,address_1,address_2,city,state,zipcode,phone,latitude,longitude,category,website,active,daycode,open,close
Mar Vista Community Garden,5075 S Slauson Avenue,,Culver City,CA,90230,310-915-1123,33.9934872,-118.4068559,Community Garden,https://www.oceanviewfarms.net/location.php,Y,,,
Messiah Organic Community Garden,7300 West Manchester Avenue,,Los Angeles,CA,90045,,33.95969308,-118.4225489,Community Garden,,Y,,,
Milagro Allegro Community Garden,115 S Avenue 56,,Los Angeles,CA,90042,323-256-7122,34.08733119,-118.3206354,Community Garden,https://communitygarden.org/find-a-garden/gardens/milagro-allegro-community-garden/,Y,,,
Moothart Collingnon/Francis Avenue Community Garden,2909 Francis Avenue,,Los Angeles,CA,90005,,34.05684772,-118.28942,Community Garden,,Y,,,
Ocean View Farms,3300 S Centinela Avenue,,Mar Vista,CA,90066,,34.01472864,-118.4419305,Community Garden,https://www.oceanviewfarms.net/,Y,,,
Orcutt Ranch Horticultural Center Rancho Sombra del Roble,23600 Roscoe Blvd,,West Hills,CA,91304,,34.21913279,-118.641199,Community Garden,,Y,,,
Rancho San Pedro Community Garden,275 W 1st Street,,San Pedro,CA,90731,,33.74327698,-118.2830172,Community Garden,,Y,,,
Rosewood Gardens,4160 Rosewood Avenue,,Los Angeles,CA,90004,(323) 821-7748,34.07572059,-118.3030171,Community Garden,,Y,,,
Salesian Boys & Girls Club Community Garden,2228 E 4th Street,,Los Angeles,CA,90033,,34.04122508,-118.2132207,Community Garden,,Y,,,
San Pedro Gardens,1400 N Gaffey Street,,San Pedro,CA,90731,,33.73126012,-118.2923468,Community Garden,,Y,,,
Sepulveda Garden Center,16633 Magnolia Boulevard,,Encino,CA,91436,(818) 784-5180,34.1649565,-118.4955004,Community Garden,http://www.laparks.org/horticulture/sepulveda-garden-center,Y,,,
Solano Canyon Community Garden,545 Solano Avenue,,Los Angeles,CA,90012,,34.07418257,-118.2314301,Community Garden,https://www.facebook.com/Solano-Canyon-Community-Garden-133534380050987/,Y,,,
Spring Street Community Garden,220 S Spring Street,,Los Angeles,CA,90012,,34.050749,-118.246015,Community Garden,https://springstreetcommunitygarden.org,Y,,,
Stanford Avalon Community Garden,658 E 111th Place,,Los Angeles,CA,90059,,33.93417627,-118.2637709,Community Garden,,Y,,,
The Learning Garden,1300 Venice Blvd,,Los Angeles,CA,90006,(310) 722-3656,34.04290511,-118.2822205,Community Garden,http://www.thelearninggarden.org/,Y,,,
Vermont Square Community Garden,4712 S Vermont Avenue,,Los Angeles,CA,90037,,34.00009093,-118.2915068,Community Garden,,Y,,,
Wattles Farm,1714 N Curson Avenue,,Los Angeles,CA,90046,(323) 663-7441,34.10199105,-118.3550116,Community Garden,http://www.wattlesfarm.com/,Y,,,
Mansfield Fountain Community Garden,1259 N Mansfield Avenue,,Los Angeles,CA,90038,,34.09361321,-118.3405019,Community Garden,https://www.facebook.com/Mansfield-Fountain-Community-Garden-Hollywood-CA-1062186980476336/,Y,,,
Norman Harriton Community Garden,2037 N Sanborn Avenue,,Los Angeles,CA,90027,,34.10414197,-118.2786531,Community Garden,,Y,,,
