name,address_1,address_2,city,state,zip,phone,latitude,longitude,category,website,,daycode1,day1_open,day1_close,daycode2,day2_open,day2_close,daycode3,day3_open,day3_close,daycode4,day4_open,day4_close,daycode5,day5_open,day5_close,daycode6,day6_open,day6_open,daycode7,day7_open,day7_close,Year_Round (Y/N),season_open,season_close
Catholic Charities- Brownson House,1307 Warren Street,,Los Angeles,CA,90033,((21)) 2-3514,34.0521281,-118.2201373,Food Pantry,http//catholiccharitiesla.org/where-we-are/program-directory-by-city/,,Mon,0900,1300,Tue,0900,1300,Wed,0900,1300,Thu,0900,1300,Fri,0900,1300,,,,,,,,,
Catholic Charities- Region 2,4171 Tyler Avenue,,El Monte,CA,91731,(626)575-7652,34.0827886,-118.031897,Food Pantry,,,Mon,0900,1300,Tue,0900,1300,Wed,0900,1300,Thu,0900,1300,Fri,0900,1300,,,,,,,,,
Catholic Rainbow Outreach,11419 Carmenita Road,,Whittier,CA,90605,(562)556-4449,33.9277609,-118.046881,Food Pantry,,,Mon,1500,1600,Tue,1500,1600,Wed,1500,1600,Fri,1500,1600,Sat,1500,1600,,,,,,,,,
CCC Ebenezery Parish,8803-8807 S. Broadway Street,,Los Angeles,CA,90003,(323)752-4400,33.9571095,-118.2785568,Food Pantry,,,Sat,1100,1330,,,,,,,,,,,,,,,,,,,,,
Central Filipino S.D.A. Church,777 Colorado Boulevard,,Los Angeles,CA,90041,(323)255-7718,34.1410086,-118.182682,Food Pantry,,,Tue3rd,0900,1200,,,,,,,,,,,,,,,,,,,,,
Centro Cristiano Las Buenas Nuevas,11910 Alondra Blvd.,,Norwalk,CA,90650,(562)237-3114,33.8873025,-118.0795603,Food Pantry,,,Sat3rd,1130,1300,,,,,,,,,,,,,,,,,,,,,
Centro Cristiano Manantial de vida,10035 Washington Street,,Bellflower,CA,90706,(562)481-1642,33.898644,-118.1204073,Food Pantry,,,Mon,1830,2030,,,,,,,,,,,,,,,,,,,,,
Centro de Vida International Church Movement,9251 Burnet Avenue,,North Hills,CA,91343,(818)892-2838,34.2387967,-118.4635834,Food Pantry,,,Wed,1000,1200,,,,,,,,,,,,,,,,,,,,,
Centro Palabra de Fe,107 W. Artesia Boulevard,,Compton,CA,90220,(310)632-7337,33.8749043,-118.2243445,Food Pantry,,,Sat2nd,2030,2130,SatLast,2030,2130,,,,,,,,,,,,,,,,,,
Chapel of Peace Lutheran Church,1009 N. Market Street,,Inglewood,CA,90302,(310)673-2584,33.9766895,-118.3568641,Food Pantry,,,Sat3rd,0900,1200,,,,,,,,,,,,,,,,,,,,,
Charismatic Ecumencial Ministries International,4357 West 3rd Street,,Los Angeles,CA,90020,(213)219-3228,34.0691134,-118.3094234,Food Pantry,,,Sun1st,1300,1330,Sun2nd,1300,1330,Sun3rd,1300,1330,,,,,,,,,,,,,,,
Children of the Shepherd,1076 N. El Centro Avenue,,Hollywood,CA,90038,(323)953-4000,34.0905485,-118.3243668,Food Pantry,,,Sat3rd,1100,1200,,,,,,,,,,,,,,,,,,,,,
Childrens Hospital Los Angeles,5000 Sunset Blvd. 7th Floor,,Los Angeles,CA,90027,(323)361-5981,34.0977874,-118.2986107,Food Pantry,,,Wed,1000,1100,,,,,,,,,,,,,,,,,,,,,
Chinese Community Service Center,1725 Beverly Blvd,Ste 1-B,Los Angeles,CA,90026,(323)483-3035,34.065401,-118.266495,Food Pantry,,,Sun,0900,1200,Tue,0900,1200,,,,,,,,,,,,,,,,,,
Christ Centered Ministries Church,742 N. La Brea Avenue,,Inglewood,CA,90302,(310)676-1499,33.972923,-118.357212,Food Pantry,,,Sat3rd,1000,1230,,,,,,,,,,,,,,,,,,,,,
Christ Gospel Prayer Center,4228 S. Vermont Avenue,,Los Angeles,CA,90037,(323)732-1394,34.0065425,-118.2912726,Food Pantry,,,Wed,1100,1130,,,,,,,,,,,,,,,,,,,,,
Christ the Good Shepherd Episcopal,3303 W. Vernon Avenue,,Los Angeles,CA,90008,(323)295-4139,34.0040273,-118.3297116,Food Pantry,,,Fri4th,1000,1300,,,,,,,,,,,,,,,,,,,,,
Christian Association for Social Services,5814 Venice Blvd.,,Los Angeles,CA,90019,(323)936-9481,34.0414693,-118.3661612,Food Pantry,,,Fri1st,1000,1300,Fri3rd,1000,1300,Sat1st,1000,1300,Sat3rd,1000,1300,,,,,,,,,,,,
Church of God,4161 Baldwin Park Blvd,,Baldwin Park,CA,91706,(626)968-6716,34.0873966,-117.9652924,Food Pantry,,,Sun,0900,1200,Wed,1900,2100,,,,,,,,,,,,,,,,,,
Church of the Epiphany,2808 Altura Street,,Los Angeles,CA,90031,(323)227-9931,34.0752843,-118.21285,Food Pantry,,,Fri2nd,1030,1130,Fri4th,1030,1130,,,,,,,,,,,,,,,,,,
Church of the Nazarene-Rosemead,2703 Walnut Grove Avenue,,Rosemead,CA,91770,(562)695-0019,34.0610322,-118.0823275,Food Pantry,,,Sat3rd,1000,1200,,,,,,,,,,,,,,,,,,,,,
Church of the Redeemer,3739 North Monterey Avenue,,Baldwin Park,CA,91706,(626)960-9585,34.0802977,-117.9766557,Food Pantry,,,Mon,0900,1300,Tue,2100,1300,Wed,0900,1300,Thu,2100,1300,Fri,0900,1300,Sat,2100,1300,,,,,,
Church of the Valley,6565 Vester blvd,,Van Nuys,CA,91411,(818)284-1331,34.1898566,-118.451357,Food Pantry,,,Tue,0930,1200,Wed,0930,1200,,,,,,,,,,,,,,,,,,
City of Commerce Community Center,2555 Commerce Way,,Commerce,CA,90040,(323)887-4460,34.0002991,-118.1559376,Food Pantry,,,Thu3rd,1030,1300,,,,,,,,,,,,,,,,,,,,,
City of Maywood,4319 E. Slauson Avenue,,Maywood,CA,90270,(323)562-5755,33.9878263,-118.1891261,Food Pantry,,,Thu4th,1300,1500,,,,,,,,,,,,,,,,,,,,,
City of Norwark/Department of Social Services,11929 Alondra Boulevard,,Norwalk,CA,90650,(562)929-5544,33.8879224,-118.0789232,Food Pantry,,,Mon,0800,1730,Tue,0800,1730,Wed,0800,1730,Thu,0800,1730,Fri,0800,1730,,,,,,,,,
City of Truth Ministries,"1139 E. Dominguez Street, Suite D",,Carson,CA,90746,(310)669-8300,33.8419672,-118.253889,Food Pantry,,,Sun2nd,1230,1400,Sun4th,1230,1400,,,,,,,,,,,,,,,,,,
Coast Christian Fellowship,4000 Pacific Coast Highway,,Torrance,CA,90505,(310)373-8573,33.8065814,-118.3566268,Food Pantry,http//www.coastchristian.org/,,Mon,1600,1800,,,,,,,,,,,,,,,,,,,,,
Congregational Church of Chatsworth,20440 Lassen Street,,Chatsworth,CA,91311,(818)882-3474,34.2496259,-118.5788499,Food Pantry,http//chatsworthcongregational.church/,,Sat,1600,1700,,,,,,,,,,,,,,,,,,,,,
Cornerstone Christian Ministry,11449 Sproule Avenue,,Pacoima,CA,91331,(818)993-2988,34.2782812,-118.4067452,Food Pantry,,,Thu,0900,1000,,,,,,,,,,,,,,,,,,,,,
Cory's Kitchen,1418 Arrow Highway,,Irwindale,CA,91706,(626)305-0392,34.1146127,-117.9746909,Food Pantry,http//www.coryskitchen.org/,,Tues,1800,2000,,,,,,,,,,,,,,,,,,,,,
Cory's Kitchen-Calvary Chapel Pico Rivera,8110 Paramount Boulevard,,Pico Rivera,CA,90660,(626)622-9202,33.969865,-118.1127636,Food Pantry,,,Thu2nd,1800,1930,Thu4th,1800,1930,,,,,,,,,,,,,,,,,,
Cory's Kitchen-El Sereno,4810 Huntington Drive South,,Los Angeles,CA,90032,(323)972-1330,34.0851253,-118.1796924,Food Pantry,,,Mon,1630,1830,,,,,,,,,,,,,,,,,,,,,
Cory's Kitchen-Faith Center Ministries,20470 # A Yellowbrick Road,,Walnut,CA,91789,(626)825-9441,33.999464,-117.8575384,Food Pantry,,,Wed,1600,1800,,,,,,,,,,,,,,,,,,,,,
Corys Kitchen-Iglesia Torre De Alabanza,822 Bradbourne Ave.,,Duarte,CA,91010,(626)960-4639,34.1422404,-117.9590196,Food Pantry,,,Sun1st,1700,1900,Sun3rd,1700,1900,,,,,,,,,,,,,,,,,,
Corys Kitchen-New Beginnings,"13020 Francisquito Avenue, Suite 10",,Baldwin Park,CA,91706,(626)305-0392,34.0791001,-117.9893116,Food Pantry,,,Fri,1700,1900,,,,,,,,,,,,,,,,,,,,,
Cover the Homeless Ministry,4425 S. Central Avenue,,Los Angeles,CA,90011,(323)931-5468,34.0031117,-118.2568599,Food Pantry,,,Thu4th,1200,1300,,,,,,,,,,,,,,,,,,,,,
Crenshaw Baptist Church,18749 Crenshaw Boulevard,,Torrance,CA,90504,(310)323-2115,33.8599467,-118.3274219,Food Pantry,,,Wed2nd,0900,1300,,,,,,,,,,,,,,,,,,,,,
Crenshaw United Methodist Church,3740 Don Felipe Drive,,Los Angeles,CA,90008,(323)292-0141,34.0068523,-118.3408663,Food Pantry,,,Sat3rd,1000,1200,,,,,,,,,,,,,,,,,,,,,
Crusaders for Christ Baptist Church,3200 W. Temple Street,,Los Angeles,CA,90026,(323)681-3569,34.0752651,-118.2816342,Food Pantry,,,Fri,1530,1700,,,,,,,,,,,,,,,,,,,,,
CUSH Foundation,2343 N. San Antonio Avenue,,Pomona,CA,91767,(909)621-5369,34.0852934,-117.7371539,Food Pantry,,,Thu2nd,0930,1300,Thu4th,0930,1300,,,,,,,,,,,,,,,,,,
Dae Hueng Presbyterian Church,15411 S. Figueroa Street,,Gardena,CA,90248,(310)719-2244,33.8913189,-118.2836487,Food Pantry,,,Sat3rd,0900,1100,,,,,,,,,,,,,,,,,,,,,
Do Right Christian Church,9815 S. Vermont Avenue,,Los Angeles,CA,90044,(323)755-1053,33.9463608,-118.2920482,Food Pantry,,,Sat1st,0830,1030,Sat2nd,0830,1030,Sat4th,0830,1030,,,,,,,,,,,,,,,
Door of Hope Community Center,1414 South Atlantic Blvd.,,Los Angeles,CA,90022,(323)262-2777,34.012313,-118.1590196,Food Pantry,,,Tues,0900,1100,Thu,0900,1100,,,,,,,,,,,,,,,,,,
Dos Testamentos En El Desierto,9845 E Palmdale Boulevard,,Palmdale,CA,93591,(661)433-1186,34.5803299,-117.952611,Food Pantry,,,Wed,1930,2030,Sat,0815,1030,Sat,1930,2030,Sun,1030,1200,,,,,,,,,,,,
East L.A. Bilingual S.D.A. Church,700 Hoefner Avenue,,Los Angeles,CA,90022,(323)633-4734,34.0209372,-118.1493743,Food Pantry,,,Wed1st,1730,1830,Wed3rd,1730,1830,Sat,1200,1245,,,,,,,,,,,,,,,
East LA Community Corporation,611 S. Lorena Street,,Los Angeles,CA,90033,(323)269-4214,34.030634,-118.199474,Food Pantry,,,Fri3rd,0900,1100,,,,,,,,,,,,,,,,,,,,,
East Palmdale Foursquare,"1817 E. Avenue Q., A-6",,Palmdale,CA,93550,(661)874-8788,34.5672827,-118.0960249,Food Pantry,,,SatLast,0830,1000,,,,,,,,,,,,,,,,,,,,,
East San Gabriel Valley Coalition For the Homeless,1345 Turnbull Canyon Blvd.,,Hacienda Heights,CA,91745,(626)333-.726,34.0112629,-117.980451,Food Pantry,,,Mon,0830,1330,Tue,0830,1330,Wed,0830,1330,Thu,0830,1330,Fri,0830,1330,,,,,,,,,
Eastmont Community Center,701 Hoefner Avenue,,Los Angeles,CA,90022,(323)726-7998,34.0209713,-118.1500876,Food Pantry,,,Mon,0900,1100,Tue,0900,1100,Wed,0900,1100,,,,,,,,,,,,,,,
Eastmont S.D.A. Spanish Church,1021 Westside Drive,,Los Angeles,CA,90022,(323)396-7729,34.0136274,-118.1376064,Food Pantry,,,Mon,1930,2000,,,,,,,,,,,,,,,,,,,,,
Echo Park United Methodist,1226 N. Alvarado Boulevard,,Los Angeles,CA,90026,(323)731-5472,34.0787092,-118.2624834,Food Pantry,,,Wed,1400,1700,,,,,,,,,,,,,,,,,,,,,
Ecumenical Council of Pasadena Area Congregations,444 East Washington Boulevard,,Pasadena,CA,91104,(626)797-2402,34.1687151,-118.1413359,Food Pantry,,,Tues,0900,1500,Wed,0900,1500,,,,,,,,,,,,,,,,,,
Ed & Frankie Benson Evangelistic Ministries,4232 West Ave. L,,Quartz Hill,CA,93536,(661)943-1148,34.659707,-118.2068055,Food Pantry,,,Tue3rd,1200,1300,,,,,,,,,,,,,,,,,,,,,
El Monte/South Emergency,10900 Mulhall Street,,South El Monte,CA,91731,(626)444-7269,34.0888812,-118.0288381,Food Pantry,,,Mon,0800,1700,Tue,0800,1700,Wed,0800,1700,Thu,0800,1700,Fri,0800,1700,,,,,,,,,
"Eliza Shanks Homes, Inc.",13055 Weidner Street,,Pacoima,CA,91331,(818)896-9304,34.2772191,-118.4173919,Food Pantry,,,Fri4th,0900,1700,,,,,,,,,,,,,,,,,,,,,
Esmirna Pentecostal Church,5414 N. Figueroa Street,,Los Angeles,CA,90042,(323)254-0191,34.1072082,-118.196609,Food Pantry,,,Fri,1600,1800,,,,,,,,,,,,,,,,,,,,,
Estelle Van Meter Multipurpose,7600 S. Avalon Boulevard,,Los Angeles,CA,90003,(323)753-3881,33.9709509,-118.2648597,Food Pantry,,,Wed1st,1030,1130,Wed3rd,1030,1130,,,,,,,,,,,,,,,,,,
Estrada Courts Community Center,3232 Hunter Street,,Los Angeles,CA,90023,(323)641-8943,34.0211079,-118.2082908,Food Pantry,,,Wed2nd,0800,1000,Wed4th,0800,1000,,,,,,,,,,,,,,,,,,
Evergreen Baptist Church of San Gabriel Valley,323 Workman Mill Road,,La Puente,CA,91746,(626)363-0300,34.0435729,-117.9991561,Food Pantry,,,Fri1st,1200,1500,Fri3rd,1200,1500,,,,,,,,,,,,,,,,,,
Family Church Whittier,8434 S. Greenleaf Avenue,,Whittier,CA,90602,(626)893-1236,33.9627706,-118.0395279,Food Pantry,http//familychurch.co/,,Sun,1015,1045,Sun,1215,1230,Sun,1345,1415,,,,,,,,,,,,,,,
Family Mennonite Church,6520 S. Normandie Avenue,,Los Angeles,CA,90044,(323)750-1744,33.9799881,-118.2999294,Food Pantry,,,Sun2nd,1300,1330,,,,,,,,,,,,,,,,,,,,,
Fifty Fourth Street S.D.A. Church,1973 West 54th Street,,Los Angeles,CA,90062,(323)292-2762,33.9935442,-118.3134514,Food Pantry,http//54stsda.org/,,Tue2nd,0800,1000,Tue4th,0800,1000,,,,,,,,,,,,,,,,,,
Figueroa Church of Christ,455 W. 57th Street,,Los Angeles,CA,90037,(323)753-2536,33.9908748,-118.2822084,Food Pantry,http//www.figueroacoc.com/,,Tue,0730,1100,,,,,,,,,,,,,,,,,,,,,
Filipino Baptist Fellowship of Long Beach,2155 Atlantic Avenue,,Long Beach,CA,90806,(310)212-5175,33.7963363,-118.1853545,Food Pantry,,,Sat3rd,1000,1300,,,,,,,,,,,,,,,,,,,,,
Filipino Christian Church,301 N. Union Avenue,,Los Angeles,CA,90026,(213)483-5821,34.0676498,-118.2644293,Food Pantry,,,Sat,1000,1050,,,,,,,,,,,,,,,,,,,,,
First African Methodist Episcopal Church,2270 S. Harvard Boulevard,,Los Angeles,CA,90018,(323)735-1251,34.0344082,-118.3061942,Food Pantry,http//www.famechurch.org/,,Sat4th,0900,1200,,,,,,,,,,,,,,,,,,,,,
First Baptist Church-Hope Net,760 S. Westmoreland Avenue,,Los Angeles,CA,90005,(213)384-2151,34.0582323,-118.2886022,Food Pantry,http//fbcofla.org/community-outreach/hope-net/,,Fri,0800,0930,,,,,,,,,,,,,,,,,,,,,
First Church of the Nazarene-Altadena,9 W. Mendocino Street,,Altadena,CA,91001,(626)798-2361,34.1915246,-118.1491785,Food Pantry,,,Thu1st,1400,1600,Thu3rd,1400,1600,,,,,,,,,,,,,,,,,,
First Church of the Nazarene-Pasadena,3700 E. Sierra Madre Boulevard,,Pasadena,CA,91107,(626)351-9631,34.1609763,-118.0739988,Food Pantry,http//www.paznaz.org/,,Wed,1400,1600,,,,,,,,,,,,,,,,,,,,,
First Lutheran Church of Inglewood,600 West Queen Street,,Inglewood,CA,90301,(310)674-5103,33.9624612,-118.3665755,Food Pantry,http//firstlutheranofinglewood.org/,,Thu2nd,1000,1130,Thu4th,1000,1130,,,,,,,,,,,,,,,,,,
First Missionary Baptist Church,37721 N. 100th Street East,,Sun Villiage,CA,93543,(661)944-4128,34.56754,-117.953277,Food Pantry,http//www.livingstonecathedral.org/index.php,,Wed2nd,1100,1300,Wed4th,1100,1300,,,,,,,,,,,,,,,,,,
First New Christian Fellowship,1555 W. 108th Street,,Los Angeles,CA,90047,(323)756-2541,33.9384572,-118.3040285,Food Pantry,,,Thu,0900,1100,,,,,,,,,,,,,,,,,,,,,
First Presbyterian Church,1809 West Boulevard.,,Los Angeles,CA,90019,(323)935-5204,34.0405644,-118.3372555,Food Pantry,http//fpcofla.org/,,Sun3rd,1300,1400,Sat,0900,1100,,,,,,,,,,,,,,,,,,
First Southern Baptist Church of Hollywood,1528 N. Wilton Place,,Hollywood,CA,90028,(323)466-9631,34.0991321,-118.3132449,Food Pantry,http//firstsouthernbaptist.church/,,Sat1st,1200,1300,,,,,,,,,,,,,,,,,,,,,
First Unitarian Church-Hope Net,2936 W. 8th Street,,Los Angeles,CA,90005,(213)389-1356,34.0574918,-118.2904201,Food Pantry,http//uula.org/,,Sat,0800,1000,,,,,,,,,,,,,,,,,,,,,
First United Methodist Church of La Puente,15701 E. Hill Street,,La Puente,CA,91744,(626)336-1927,34.0325929,-118.2662632,Food Pantry,,,SunLast,1000,1230,,,,,,,,,,,,,,,,,,,,,
Food Net- East Los Angeles Center,133 N. Sunol Drive,,Los Angeles,CA,90063,(323)260-2801,34.0370429,-118.1792254,Food Pantry,http//wdacs.lacounty.gov/service-locations/east-los-angeles-service-center/,,Mon,0930,1200,Mon,1330,1600,Thu,0930,1200,Fri,1330,1600,,,,,,,,,,,,
Food Net-Asian Service Center,14112 S. Kingsley Drive,,Gardena,CA,90249,(310)217-7300,33.90287,-118.30389,Food Pantry,,,Mon,0800,1600,Tue,0800,1600,Wed,0800,1600,Thu,0800,1600,Fri,0800,1600,,,,,,,,,
Food Net-Centro Maravilla,4716 E. Cesar Chavez Avenue,,Los Angeles,CA,90022,(323)260-2804,34.0402137,-118.1643033,Food Pantry,,,Mon,0800,1600,Tue,0800,1600,Fri,0800,1600,,,,,,,,,,,,,,,
Food Net-East Rancho Dominguez,4513 E. Compton Boulevard,,Compton,CA,90221,(310)603-7401,33.8964368,-118.1927524,Food Pantry,,,Fri2nd,0800,1000,Fri4th,0800,1000,,,,,,,,,,,,,,,,,,
Food Net-Florence Firestone Center,7807 S. Compton Avenue,,Los Angeles,CA,90001,(323)586-6502,33.9677438,-118.2480784,Food Pantry,,,Tue2nd,0900,1300,,,,,,,,,,,,,,,,,,,,,
Food Net-Los Nietos Service Center,11640 W. Slauson Avenue,,Whittier,CA,90606,(562)699-9898,33.9643446,-118.0676089,Food Pantry,,,Thu,1100,1400,Fri,1300,1330,Fri,1430,1600,,,,,,,,,,,,,,,
Food Net-San Gabriel Valley Center,1441 Santa Anita Avenue,,South El Monte,CA,91733,(626)575-5431,34.0451612,-118.0455444,Food Pantry,,,Wed,0830,1030,,,,,,,,,,,,,,,,,,,,,
Food Net-San Pedro Service Center,769 W. Third Street,,San Pedro,CA,90731,(310)519-6091,33.7412554,-118.2938035,Food Pantry,,,Tue2nd,1400,1630,Wed,1400,1630,Thu,1400,1630,Fri,1400,1630,,,,,,,,,,,,
Food Net-Santa Clarita Service Center,24271 Main Street,,Newhall,CA,91321,(661)254-0070,34.3783287,-118.5278635,Food Pantry,,,Mon,0900,1600,Tue,0900,1600,Wed,0900,1600,Thu,0900,1600,Fri,0900,1600,,,,,,,,,
Food Net-Willowbrook Senior Center,12915 Jarvis Avenue,,Los Angeles,CA,90061,(310)217-5650,33.9150672,-118.2722211,Food Pantry,,,Wed2nd,1000,1200,Wed4th,1000,1200,,,,,,,,,,,,,,,,,,
Foothill Unity Center,415 W. Chestnut Avenue,,Monrovia,CA,91016,(626)359-1777,34.1427592,-118.0081715,Food Pantry,,,Mon,1300,1530,Wed,0900,1130,Fri,0900,1130,,,,,,,,,,,,,,,
Fred Jordan Mission,445  Towne Avenue,,Los Angeles,CA,90013,(213)489-7763,34.0433355,-118.2419919,Food Pantry,,,Mon,1200,1300,Tue,1200,1300,Wed,1200,1300,Thu,1200,1300,Fri,1200,1300,,,,,,,,,
Fuller Theological Seminary,135 North Oakland Avenue,,Pasadena,CA,91101,(626)584-5433,34.148218,-118.1404603,Food Pantry,,,Wed,1200,1500,,,,,,,,,,,,,,,,,,,,,
Gardena S.D.A. Church,16113 S. Denker Avenue,,Gardena,CA,90247,(310)324-3992,33.8844546,-118.3048366,Food Pantry,,,Sat1st,1500,1800,Sat3rd,1500,1800,,,,,,,,,,,,,,,,,,
Gardena Valley Assembly of God,1473 W. 182nd Street,,Gardena,CA,90248,(310)329-6933,33.8659794,-118.3018567,Food Pantry,,,Sun,1230,1330,,,,,,,,,,,,,,,,,,,,,
Glendale Filipino S.D.A. Church,310 E. Chestnut Street,,Glendale,CA,91205,(818)543-0110,34.1395829,-118.2520609,Food Pantry,,,Wed2nd,1100,1200,,,,,,,,,,,,,,,,,,,,,
Good News Central Church,3500 West 1st Street,,Los Angeles,CA,90004,(213)386-0097,34.0731603,-118.2896203,Food Pantry,,,Sat,1000,1100,,,,,,,,,,,,,,,,,,,,,
Good News Missionary Baptist Church,2400 W. Vernon Ave,,Los Angeles,CA,90008,(323)292-3589,34.003407,-118.319388,Food Pantry,,,Thu2nd,1100,1300,Thu4th,1100,1300,,,,,,,,,,,,,,,,,,
Good News Prayer Center,1722 East Firestone Boulevard,,Los Angeles,CA,90001,(323)753-0117,33.9599573,-118.2423524,Food Pantry,,,Sat3rd,1000,1200,,,,,,,,,,,,,,,,,,,,,
Gospel Mission Baptist Church,7301 S. Avalon Boulevard,,Los Angeles,CA,90003,(323)759-8087,33.9735936,-118.2655739,Food Pantry,,,Wed4th,1100,1200,,,,,,,,,,,,,,,,,,,,,
Grace Evangelical Free Church of La Mirada,12717 Santa Gertrudes Avenue,,La Mirada,CA,90638,(562)943-3791,33.915754,-117.995356,Food Pantry,,,Fri,1600,1800,,,,,,,,,,,,,,,,,,,,,
Grace Presbyterian Church,1500 N. Ave 53,,Los Angeles,CA,90042,(818)957-8090,34.1213022,-118.1999599,Food Pantry,,,Fri2nd,0930,1030,Fri4th,0930,1030,,,,,,,,,,,,,,,,,,
