UID,name,type,address,city,state,zip,latitude,longitude
,North Hollywood Community Garden,Community Garden,11800 Weddington Street,North Hollywood,CA,91607,EMPTY,EMPTY
,Tarzana Community Garden,Community Garden,18702 Erwin Street,San Fernando Valley,CA,91335,34.18384300200006,-118.54066927899999
,Orcutt Ranch Horticultural Center Rancho Sombra del Roble,Community Garden,23600 Roscoe Blvd,West Hills,CA,91304,34.219132785000056,-118.64119895299996
,Parkman Gardens,Community Garden,20800 Burbank Blvd,Woodland Hills,CA,91367,34.171943388000045,-118.58674902799999
,Sepulveda Garden Center,Community Garden,16633 Magnolia Boulevard,Encino,CA,91316,34.16495650300004,-118.49550040099996
,Ocean View Farms,Community Garden,3300 S Centinela Avenue,Mar Vista,CA,90066,34.01472864200008,-118.44193053599997
,WE Garden,Community Garden,1010 Abbot Kinney Blvd,Venice,CA,90201,33.99211615300004,-118.47218907199999
,Venice Community Garden,Community Garden,643 Mildred Avenue,Venice,CA,90291,33.98726245800003,-118.46188133599998
,Eastwind Community Garden,Community Garden,110 Eastwind Street,Marina Del Rey,CA,90292,33.977245786000026,-118.46316565099994
,Mar Vista Community Garden,Community Garden,5075 S Slauson Avenue,Culver City,CA,90230,33.993487198000025,-118.40685594399997
,Holy Nativity Community Garden,Community Garden,6700 West 83rd Street,Westchester,CA,90045,33.96343338400004,-118.40646992899997
,Emerson Avenue Community Garden,Community Garden,6550 W 80th Street,Westchester,CA,90045,33.96923397100005,-118.40476339999998
,Rosecrans Farms,Community Garden,561 W 146th Street,Gardena,CA,90248,EMPTY,EMPTY
