FM_ID,name,address_1,address_2,city,state,zipcode,phone,latitude,longitude,website,daycode1,day1_open,day1_close,daycode2,day2_open,day2_close
1006035,Diamond Bar Farmers Market,Calvary Chapel Church,,Diamond Bar,California,91765,(323)447-6848,36.8199,-119.781,http://www.local-farmers-markets.com/market/345/diamond-bar/diamond-bar-farmers-market,Sat,800,1300,,,
1006655,Downey Farmers Market,La Reina Ave & 2nd St,,Downey,California,90242,(818)591-8161,33.942,-118.1342,https://www.facebook.com/DowneyFarmersMarket/,Sat,900,1300,,,
1006656,Downtown Los Angeles (Fig at 7th) Farmers Market,S Figueroa St & W 7th St,,Los Angeles,California,90017,,34.0494,-118.2599,https://www.facebook.com/FigAt7thFM/,Thu,1100,1400,,,
1005577,Duarte City of Hope Farmers Market,1500 Duarte Rd,,DUARTE,California,91010,,34.1397,-117.978,,Thu,1000,1400,,,
1006034,Eagle Rock Farmers Market,2035 Colorado Blvd.,,Eagle Rock,California,90041,,34.1392,-118.214,https://www.facebook.com/EagleRockFarmersMarket/,Fri,1600,2000,,,
1010734,East Hollywood Farmers Market,5448 Hollywood Boulevard,,Los Angeles,California,90027,,34.1015,-118.308,https://www.facebook.com/EHFarmersMkt/,Thu,1530,1930,,,
,East LA Farmers' Market,4801 East 3rd Street,,Los Angeles,California,90022,,34.0334,-118.16,https://www.facebook.com/eastlafarmersmarket/,Sat,900,1400,,,
1010019,Echo Park Farmers Market,Logan St. and Sunset Blvd,,Los Angeles,California,90026,,34.0769,-118.2586,https://www.facebook.com/Echo-Park-Farmers-Market-313522200882/,Fri,1500,1930,,,
1000024,El Segundo Plaza Farmers Market,300 Main St.,,El Segundo,California,90245,,33.9191,-118.416,https://www.facebook.com/elsegundofarmersmarket/,Thu,1500,1900,,,
1000785,Encino Farmers Market,17400 Victory Blvd in Van Nuys,,Van Nuys,California,91406,,34.1862,-118.5141,http://www.encinofarmersmarket.org/,Sun,800,1300,,,
1004328,Gardena Hollypark Farmers Market,13000 Van Ness,,Los Angeles,California,90047,,33.931,-118.318,,Sat,630,1200,,,
,Green Acres,5000 East Spring Street,,Long Beach,California,90815,(562)972-8897,33.8099554,-118.1376043,https://www.yelp.com/biz/green-acres-farmers-market-long-beach,Thu,1100,1730,Sun,830,1430
1006480,Hermosa Beach Farmers Market,Valley Dr. between 8th St. & 10th St.,,Hermosa Beach,California,90254,,33.862,-118.3952,https://www.facebook.com/farmermarkHB,Wed,1100,1600,,,
,Historic Downtown Farmers' Market (CFM),205 West 5th Street,,Los Angeles,California,90013,(310)455-0181,34.0477107,-118.2523156,https://www.facebook.com/HistoricFarmersMarket/,Sun,900,1400,,,
1000052,Hollywood Farmers Market,1500 N Ivar Ave,,Hollywood,California,90028,,34.0981,-118.3287,http://www.hollywoodfarmersmarket.net/,Sun,800,1300,,,
,Howard Hughes Farmers Market,6080 Center Drive,,Los Angeles,California,90230,,33.976,-118.3867,https://www.facebook.com/HowardHughesFarmersMarket/,Thu,1000,1400,,,
1003705,Huntington Park Farmers Market,3401 East Florence Avenue,,Huntington Park,California,90255,(866)466-3834,33.973,-118.2048,http://www.goodveg.org/hafm/index.php/markets/wednesday-huntington-park,Wed,930,1330,,,
1011480,Inglewood Farmers Market,Market Street and Manchester Blvd.,,Inglewood,California,90302,(323)952-7363,33.9617,-118.352,https://www.facebook.com/inglewoodcertifiedfarmersmarket/,Thu1st,1500,1900,Thu3rd,1500,1900
1003416,Jack Newe's Farmers Market,1920 S Brea Canyon Cut Off,,Walnut,California,,,33.9835,-117.867,https://www.yelp.com/biz/the-jack-newes-farmers-market-walnut,Sat,800,1400,,,
,Kaiser Baldwin Park Farmers Market,1011 Baldwin Park Blvd,,Baldwin Park,California,91706,(626)851-5223,34.0654,-117.9859,https://thrive.kaiserpermanente.org/care-near-you/southern-california/baldwin-park/shc_calendar_event/farmers-market-6/,Fri,830,1330,,,
,Kaiser Downey,9333 E. Imperial Hwy in Kaiser Medical Center,,Downey,California,90242,,33.9192,-118.1288,,Thu,900,1400,,,
1002541,Kaiser Medical Center Panorama City FM,13652 Cantara Street,,Panorama City,California,91402,,34.2207,-118.4301,https://thrive.kaiserpermanente.org/care-near-you/southern-california/panorama-city/shc_calendar_event/kaiser-permanente-farmers-market/,Wed,900,1330,,,
1008975,Kaiser Medical Center Woodland Hills,5601 De Soto Avenue,,Woodland Hills,California,91367,,34.1709,-118.5897,https://thrive.kaiserpermanente.org/care-near-you/southern-california/woodland-hills/shc_calendar_event/farmers-market/,Thu,900,1500,,,
1003673,Kaiser South Bay Farmers Market,25825 S. Vermont Avenue,,Harbor City,California,90710,,33.7901,-118.2937,https://thrive.kaiserpermanente.org/care-near-you/southern-california/south-bay/shc_calendar_event/farmers-market-3/,Wed,900,1500,,,
,Kaiser -West LA Farmers Market,6041 Cadillac Ave,,Los Angeles,California,90034,(424)287-2280,34.0381,-118.3759,https://www.facebook.com/kaiserwestlafarmersmarket?fref=ts,Wed,900,1400,,,
1002082,L.A. Central Avenue Farmers Market,4301 S. Central Avenue,,Hollywood,California,90028,(323)463-3171,38.5706,-121.448,https://www.facebook.com/pg/CentralAvenueFarmersMarket/about/?ref=page_internal,Thu,1000,1500,,,
,L.A. City Hall (Little Tokyo CFM),200 North Main Street,,Los Angeles,California,90012,(323)660-8660,34.053106,-118.241657,https://www.yelp.com/biz/farmers-market-at-los-angeles-city-hall-los-angeles,Thu,1000,1400,,,
1003447,L.A. Larchmont Village Farmers Market,"Larchmont Bldg., Lot #694",,Los Angeles,California,90042,(818)591-8161,34.0834,-118.324,https://www.facebook.com/LarchmontVillageFM/,Sun,1000,1400,,,
1003446,L.A. Melrose Place Farmers Market,Melrose Place & Croft,"8400 Melrose Ave, Los Angeles, CA 90069",Los Angeles,California,90069,(818)591-8161,34.0841,-118.374,,Sun,1000,1400,,,
1001269,L.A. Silverlake Farmers Market,3700 Sunset Blvd.,,Los Angeles,California,90026,(213)484-4002,34.0943,-118.282,,Tue,1400,1930,Sat,800,1330
1003444,La Canada Flintridge Farmers Market,Beulah Dr. & Foothill Ave.,,La Canada Flintridge,California,91011,,34.2035,-118.198,http://www.lacanadaflintridge.com/events-page/farmers-market.html,Sat,900,1300,,,
,La Cienega Farmers Market (CFM),1831 South La Cienega Blvd.,,Los Angeles,California,90035,(562) 495-1764,34.044534,-118.377428,http://www.lacienegafarmersmarket.com/,Thu,1400,1930,,,
,La Puente Live Farmers Market,Main Street & First Street,,La Puente,California,91744,,34.0201,-117.9523,http://www.lapuentelive.com/,Fri,1800,2200,,,
,Lancaster Farmers Market,721 Lancaster Blvd.,,Lancaster,California,93534,(661)723-6077,34.6968,-118.1155,http://www.cityoflancasterca.org/about-us/departments-services/parks-recreation-arts/special-events/blvd-farmers-market,Thu,1600,2100,,,
,Lancaster Farmers Market / BLVD Farmers' Market,758 West Lancaster Blvd,,Lancaster,California,93534,(818)591-8161,34.697542,-118.144039,http://www.theblvdlancaster.com/events.html?id=535#.WH7qI7byvdQ,Thu,1500,1700,,,
1001023,Lawndale Farmers Market,14717 Burin Ave.,,Lawndale,California,90260,,33.8982,-118.354,http://www.lawndalecity.org/HTML/FarmersMarket.htm,Wed,1400,1900,,,
1011300,Lincoln Heights Farmers Market,2334 Daly St.,,Los Angeles,California,90031,(323)437-0203,34.0729,-118.2152,https://www.facebook.com/LincolnHeightsCFM/,Wed,1500,2000,,,
,Local Harvest Farmers Market,Marine Stadium at Appian Way & Nieto,,Long Beach,California,90803,(562)449-9299,33.7685,-118.1329,http://www.localharvestfarmersmarkets.com/marine-stadium,Wed,1500,1900,,,
,Long Beach Downtown CFM,199 East 5th Street,"Inside City Place Shopping Center, on Promenade north between 3rd and 5th. ",Long Beach,California,90805,(866)466-3834,33.773432,-118.169951,https://www.goodveg.org/friday-long-beach-downtown,Fri,1000,1400,,,
1003702,Long Beach Southeast Farmers Market,2nd St. and N. Marina Dr.,"Parking lot of the Alamitos Bay Marina, on E. Marina Dr. one quarter mile south of E. 2nd St., just west of PCH",Long Beach,California,90803,(562)449-9299,33.7576,-118.1131,http://lbfresh.org/eaters/find-local-food/farmers-markets/,Sun,900,1400,,,
1003706,Long Beach Uptown Farmers Market,E 46Th St & Atlantic Ave,,Long Beach,California,90807,(562)449-9299,33.8426,-118.1849,http://lbfresh.org/eaters/find-local-food/farmers-markets/,Thu,1500,1830,,,
,Los Feliz Village CFM,1825 North Vermont Avenue,,Los Angeles,California,90027,,34.104458,-118.292219,https://www.yelp.com/biz/los-feliz-village-farmers-market-los-angeles,Sun,900,1400,,,
1001537,Malibu Farmers Market,23555 Civic Center Way,,Malibu,California,90265,(310)428-4262,34.0347,-118.6912,https://www.facebook.com/pages/Malibu-Farmers-Market/112872675433982,Sun,1000,1500,,,
1005022,Manhattan Beach Farmers Market,326 13th St,,Manhattan Beach,California,90266,,33.8867,-118.4094,http://downtownmanhattanbeach.com/manhattan-beach-farmers-market/,Tue,1100,1600,,,
1001878,Mar Vista Farmers Market,3826 Grand View Blvd,,Los Angeles,California,90066,,34.0042,-118.4305,http://www.marvistafarmersmarket.org/,Sun,900,1400,,,
,Miracle Mile Farmers Market,5700 Wilshire Blvd,,Los Angeles,California,90036,(818)591-8161,34.0617,-118.3535,,Wed,1100,1500,,,
1002882,Monrovia Farmers Market - Friday,200 Block of Myrtle Ave @ Olive,,Monrovia,California,91016,(626)932-5501,34.1448,-118.0009,http://www.farmersmarketonline.com/fm/MonroviaFarmersMarket.html,Fri,1730,2100,,,
,Monterey Park Farmers Market,318 S. Ramona Ave,,Monterey Park,California,91754,,34.0591,-118.1247,http://www.montereypark.ca.gov/686/Farmers-Market,Fri,1600,2000,,,
,Montrose Harvest Market,3808 Ocean View Blvd,,Montrose,California,91020,(818)646-2880,34.2054,-118.2269,http://shopmontrose.com/harvest-market-and-marketplace/,Sun,900,1400,,,
1002376,Montrose Harvest Market Farmers Market,Honolulu & Ocean Avenue,,Santa Barbara,California,93101,(805)637-6635,34.4222,-119.713,,Mon,1000,1500,,,
,Motor Avenue Farmers Market,10316 National @ Motor Ave.,Free Parking: 3376 Motor Avenue,Los Angeles,California,90034,(310)202-9002,34.0292,-118.4107,http://www.motoravenuemarket.com/,Tue,1100,1600,,,
,Newhall Farmers Market,24500 Main Street,,Santa Clarita,California,91321,(661)250-3787,34.3815,-118.5293,http://oldtownnewhall.com/old-town-newhall-farmers-market/,Sat,830,1230,,,
,Northridge Farmers Market And Family Festival,9301 Tampa Ave,,Northridge,California,91324,(805)643-6458,34.2392,-118.5538,,Wed,1700,2100,,,
,Northridge University Farmers Market,18111 Nordroff Street,,Northridge,California,91330,(818)677-1200,34.236,-118.5283,,Tue,1000,1400,,,
,Old Highland Park Farmers Market,5703 N Figueroa St,,Los Angeles,California,90042,(323)255-5030,34.10988,-118.192888,http://oldla.org/farmers-market/,Tue,1500,1900,,,
1011298,Old L.A. Farmers Market,North Figueroa & Ave. 58,,Los Angeles,California,90042,(323)449-4100,34.1106,-118.1928,,Tue,1500,2000,,,
1011995,Palos Verdes Farmers Market,27118 Silver Spur Rd,,Rolling Hills Estates,California,90274,(310)328-8076,33.7767,-118.3749,,Sun,800,1300,,,
,Paramount Farmers Market,15500 Downey Ave,,Paramount,California,90723,(562)220-2224,33.9026,-118.1602,,Fri,930,1330,,,
1008716,Pasadena Victory Park Farmers Market,2900 N. Sierra Madre Blvd between Paloma and Washington Avenues,,Pasadena,California,91107,,34.1604,-118.0929,http://www.pasadenafarmersmarket.org/pasadena_farmers_market_victory_park.html,Sat,830,1230,,,
1008719,Pasadena Villa Parke Farmers Market,363 E. Villa St.,,Pasadena,California,91101,(626)449-0179,34.1551,-118.1429,http://www.pasadenafarmersmarket.org/pasadena_farmers_market_villa_parke.html,Tue,830,1230,,,
1002350,Playa Vista Farmers Market,12775 W. Millennium Drive,,Playa Vista,California,90094,,33.9726,-118.4219,http://www.farmermark.com/playavista/,Sat,900,1400,,,
,Pomona Valley CFM,Corner of Pearl St & Garey Ave,,Pomona,California,91767,,34.064542,-117.750371,,Sat,730,1130,,,
1005000,Redondo Beach Farmers Market,309 Esplanade,,Redondo Beach,California,90277,(310)372-1171,33.8365,-118.3895,,Thu,800,1300,,,
,Riviera Village Farmers Market,S Elena St & Avenida del Norte,,Redondo Beach,California,90277,,33.8193,-118.3884,,Sun,800,1300,,,
,Rosemead Farmers Market,8838 Valley Blvd.,,Rosemead,California,91770,,34.0803,-118.0763,http://www.cityofrosemead.org/index.aspx?recordid=1528&page=13,Mon,1600,2000,,,
,San Pedro Farmers Market,W 6Th St & S Mesa St,,San Pedro,California,90731,(310)832-2183,33.7388,-118.2857,,Fri,900,1400,,,
,Santa Clarita Farmers Market,College of the Canyons Valencia Campus,26455 Rockwell Canyon Rd.,Valencia,California,91355,(805)529-6266,34.4042,-118.5683,http://visitsantaclarita.com/dining/farmers-markets/santa-clarita-farmers-market/,Sun,830,1200,,,
,Santa Fe Springs Farmers Market,11740 Telegraph Road,,Santa Fe Springs,California,90670,(562)863-4896,33.9456,-118.0827,,Wed,1700,2100,,,
,Santa Monica Downtown Farmers Market,Arizona Ave between 4th St and Ocean,,Santa Monica,California,90401,(310)458-8712,34.0162,-118.4986,http://www.smgov.net/portals/farmersmarket/,Wed,830,1300,,,
,Santa Monica Downtown Farmers Market,Arizona Ave between 4th St and Ocean,,Santa Monica,California,90401,(310)458-8712,34.0162,-118.4986,http://www.smgov.net/portals/farmersmarket/,Sat,830,1300,,,
1008570,Santa Monica Farmers Market - Saturday Virginia Avenue Park,2200 Virginia Avenue,(Pico Blvd. @ Cloverfield Blvd.),Santa Monica,California,90405,(310)458-8712,34.0208,-118.4677,http://www.smgov.net/portals/farmersmarket/,Sat,800,1300,,,
1003123,Santa Monica Farmers Market - Sunday Main Street,2640 Main Street,(in Heritage Square),Santa Monica,California,90405,(310)458-8712,34.0023,-118.4833,http://www.smgov.net/portals/farmersmarket/,Sun,830,1330,,,
1008720,Temple City Farmers Market,9701 Las  Tunas Dr,,Temple City,California,91780,(626)422-1419,34.1077,-118.0579,http://www.ci.temple-city.ca.us/287/Farmers-Market,Sun,830,1300,,,
,The Village Farmers Market,6250 Topanga Blvd.,,Woodland HIlls,California,91367,(818)591-8161,34.1841,-118.6058,http://www.ci.temple-city.ca.us/287/Farmers-Market,Sun,900,1300,,,
1011757,The WALL Food + Flowers + Farmers Market,755 Wall Street,,Los Angeles,California,90014,,34.0408,-118.2497,http://www.laflowerdistrict.com/farmers-market,Sat,900,1400,,,
,Toluca Lake Farmers Market,Sancola Ave & Riverside Dr,,Toluca Lake,California,91610,,34.1522,-118.3538,http://dola.com/events/weekly/sun/toluca-lake-farmers-market,Sun,1000,1500,,,
,Topanga Canyon CFM,1440 North Topanga Canyon Blvd.,,Topanga,California,90503,,34.112172,-118.589828,http://www.sfma.net/,Fri,900,1300,,,
1006481,"Torrance Farmers Market -Tuesday and saturday- 2200 Crenshaw Blvd Torrance,Ca.90501",2200 Crenshaw Blvd,,Torrance,California,90501,,33.8249,-118.3284,http://www.torranceca.gov/6620.htm,Sat,800,1300,,,
1006481,"Torrance Farmers Market -Tuesday and saturday- 2200 Crenshaw Blvd Torrance,Ca.90501",2200 Crenshaw Blvd,,Torrance,California,90501,,33.8249,-118.3284,http://www.torranceca.gov/6620.htm,Tue,800,1300,,,
,Torrance Providence Farmers Market,4101 Torranc Blvd. @ Hawthorne Blvd,,Torrance,California,90503,,33.8387,-118.3568,https://www.hlinc.co/little-company-of-mary-torrance,Fri,1000,1500,,,
1003331,Uptown Whittier Farmers Market,Bright Ave & Philadelphia St,13018 Philadelphia St.,Whittier,California,90602,(562)696-2662,33.9791,-118.0362,http://whittieruptown.org/fridaymarket/,Fri,800,1300,,,
,USC Hospitality Farmers Market,3445 S. Figueroa Street,,Los Angeles,California,90007,(213)821-5707,34.0209,-118.2807,http://hospitality.usc.edu/,Wed,1100,1500,,,
1011813,Valencia Farmers Market,24201 Valencia Blvd,,valencia,California,91355,,34.4159,-118.5582,,Thu,1600,2000,,,
,Venice Farmers Market,N Venice Blvd & Venice Way,,Venice,California,90291,,33.9876,-118.466,,Fri,700,1100,,,
1010037,Watts Healthy Farmers Market,1335 East 103rd Street,,Los Angeles,California,90002,,33.9435,-118.2524,http://seela.org/venue/watts-healthy-farmers-market-2/,Sat,1000,1400,,,
1002890,Wellington Square Farmers Market,4394 W Washington Blvd.,,Los Angeles,California,90016,,34.0398,-118.3348,https://www.wellingtonsquarefarmersmarket.com/,Sun,900,1300,,,
1007322,West Covina Farmers Market,195 S. Glendora Ave.,,West Covina,California,91790,,34.0706,-117.9215,http://westcovinafarmersmarket.org/,Sat,800,1300,,,
,West Hollywood Farmers Market,1200 N Vista St,,West Hollywood,California,90046,(323)845-6535,34.0926,-118.3511,http://www.weho.org/residents/recreation-services/helen-albert-certified-farmers-market,Mon,900,1400,,,
,West Los Angeles Farmers Market,1645 Corinth Avenue at Santa Monica Blvd,,Los Angeles,California,90025,,34.0457,-118.4505,,Sun,900,1400,,,
1001877,Westchester Farmers Market,7000 W Manchester Ave,,Los Angeles,California,90045,,33.9586,-118.394,,Wed,830,1300,,,
,Westwood Village Farmers Market,1083 Braxton Avenue,,Los Angeles,California,90024,,34.057,-118.4494,,Thu,1200,1800,,,
1011897,Whittier Host Lions Farmers Market,9401 S Painter Ave,,Whittier,California,90605,,33.9532,-118.0443,http://www.whittierfarmersmarket.org/,Sat,900,1300,,,
1004295,Wilmington Farmers Market,Avalon and L St.,,Wilminton,California,90744,,33.7867,-118.263,,Thu,900,1300,,,
,Woodland Hills Farmers Market,23504 Calabasas Rd,,Calabasas,California,91302,(818)591-8161,34.157224,-118.63876,,Sat,800,1300,,,
,Woodman Avenue Farmers Market,14006 Riverside Dr,,Sherman Oaks,California,91423,,34.1571,-118.4379,,Tue,1500,1900,,,
